round,alpha,beta,give,keep,steal,p0,p1,p0=>p0,p0=>p1,p1=>p0,p1=>p1
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,0.0,0.0,0.0,0.0
1,0.2,0.5,1.3,0.95,1.6,99.0,99.0,1.0,0.0,0.0,1.0
2,0.2,0.5,1.3,0.95,1.6,98.01000000000002,98.01000000000002,1.0,0.0,0.0,1.0
3,0.2,0.5,1.3,0.95,1.6,97.02990000000001,97.02990000000001,1.0,0.0,0.0,1.0
4,0.2,0.5,1.3,0.95,1.6,96.05960100000001,96.05960100000001,1.0,0.0,0.0,1.0
5,0.2,0.5,1.3,0.95,1.6,95.09900499000003,95.09900499000003,1.0,0.0,0.0,1.0
6,0.2,0.5,1.3,0.95,1.6,94.14801494010003,94.14801494010003,1.0,0.0,0.0,1.0
7,0.2,0.5,1.3,0.95,1.6,93.20653479069902,93.20653479069902,1.0,0.0,0.0,1.0
8,0.2,0.5,1.3,0.95,1.6,92.27446944279204,92.27446944279204,1.0,0.0,0.0,1.0
9,0.2,0.5,1.3,0.95,1.6,91.35172474836412,91.35172474836412,1.0,0.0,0.0,1.0
10,0.2,0.5,1.3,0.95,1.6,90.4382075008805,90.4382075008805,1.0,0.0,0.0,1.0
11,0.2,0.5,1.3,0.95,1.6,89.53382542587168,89.53382542587168,1.0,0.0,0.0,1.0
12,0.2,0.5,1.3,0.95,1.6,88.63848717161298,88.63848717161298,1.0,0.0,0.0,1.0
13,0.2,0.5,1.3,0.95,1.6,87.75210229989685,87.75210229989685,1.0,0.0,0.0,1.0
14,0.2,0.5,1.3,0.95,1.6,86.87458127689787,86.87458127689787,1.0,0.0,0.0,1.0
15,0.2,0.5,1.3,0.95,1.6,86.0058354641289,86.0058354641289,1.0,0.0,0.0,1.0
16,0.2,0.5,1.3,0.95,1.6,85.14577710948761,85.14577710948761,1.0,0.0,0.0,1.0
17,0.2,0.5,1.3,0.95,1.6,84.29431933839274,84.29431933839274,1.0,0.0,0.0,1.0
18,0.2,0.5,1.3,0.95,1.6,83.45137614500881,83.45137614500881,1.0,0.0,0.0,1.0
19,0.2,0.5,1.3,0.95,1.6,82.61686238355871,82.61686238355871,1.0,0.0,0.0,1.0
20,0.2,0.5,1.3,0.95,1.6,81.79069375972314,81.79069375972314,1.0,0.0,0.0,1.0
21,0.2,0.5,1.3,0.95,1.6,80.9727868221259,80.9727868221259,1.0,0.0,0.0,1.0
22,0.2,0.5,1.3,0.95,1.6,80.16305895390464,80.16305895390464,1.0,0.0,0.0,1.0
23,0.2,0.5,1.3,0.95,1.6,79.36142836436561,79.36142836436561,1.0,0.0,0.0,1.0
24,0.2,0.5,1.3,0.95,1.6,78.56781408072196,78.56781408072196,1.0,0.0,0.0,1.0
25,0.2,0.5,1.3,0.95,1.6,77.78213593991474,77.78213593991474,1.0,0.0,0.0,1.0
26,0.2,0.5,1.3,0.95,1.6,77.00431458051561,77.00431458051561,1.0,0.0,0.0,1.0
27,0.2,0.5,1.3,0.95,1.6,76.23427143471046,76.23427143471046,1.0,0.0,0.0,1.0
28,0.2,0.5,1.3,0.95,1.6,75.47192872036337,75.47192872036337,1.0,0.0,0.0,1.0
29,0.2,0.5,1.3,0.95,1.6,74.71720943315972,74.71720943315972,1.0,0.0,0.0,1.0
30,0.2,0.5,1.3,0.95,1.6,73.97003733882812,73.97003733882812,1.0,0.0,0.0,1.0
