round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
1,0.2,0.5,1.3,0.95,1.6,90.375,89.75,101.0,99.5,129.375,109.25,114.125,107.625,6.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,0.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,2.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,7.124999999999999,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,6.5,3.25,0.0,0.0,0.0,0.0,6.5,4.75,0.0,9.750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,13.0,6.5,4.875000000000001,9.750000000000002,6.5,7.124999999999999,6.5,8.125,0.0,6.5,4.875000000000001,9.750000000000002,0.0,0.0,0.0,8.125,0.0,3.25,4.875000000000001,0.0,6.5,0.0,6.5,0.0,13.0,0.0,4.875000000000001,0.0,6.5,0.0,6.5,9.750000000000002,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
2,0.2,0.5,1.3,0.95,1.6,88.69937500000002,81.80826099881097,103.49889008620691,106.02677745986922,145.88632227259217,123.91380183561239,118.86896551724139,113.40753084126042,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,2.0,0.0,2.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,5.0,6.0,0.0,13.88574390606421,0.0,0.0,0.0,7.104568593935792,0.0,3.7090625000000004,0.0,0.0,0.0,9.847500000000002,5.06087990487515,2.8998810939357913,0.0,0.0,0.0,0.0,9.19505090665874,8.522945897740785,0.0,12.904330781807374,8.8765625,0.0,0.0,0.0,5.83375,0.0,0.0,4.2046875,5.302021403091558,7.418125000000001,19.268193556777646,16.583946195005947,7.990116304994055,17.494467895362668,5.06087990487515,15.575400379013079,12.403271403091559,6.778240190249703,0.0,4.835196195005946,7.990116304994055,7.646967895362666,9.701250000000002,4.2046875,2.5946875,14.196365190249704,8.74453125,2.417598097502973,7.990116304994055,0.0,5.06087990487515,4.2046875,14.178583903091559,0.0,21.017099806777647,0.0,3.6148038049940547,0.0,21.22962990487515,0.0,5.302021403091558,19.261075728299645,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
3,0.2,0.5,1.3,0.95,1.6,86.6271893491884,80.31585285650803,109.32622557158919,109.47334350474443,165.9066681445653,126.00271969516803,124.47116056537769,126.1664674481382,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,3.0,1.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,4.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,17.081672730268966,0.0,0.0,0.0,15.388612195772474,0.0,2.9569044231469506,0.0,0.0,0.0,17.87848313353932,4.080074513285985,7.157295209682709,0.0,0.0,0.0,0.0,18.858718338015564,11.656775901962131,0.0,20.2205916674194,7.390139664192081,0.0,0.0,0.0,4.361387212587908,0.0,0.0,3.490011512230519,12.471889994542327,5.913808846293901,32.03624593908978,27.26377356225444,9.976607951256861,23.92706632508017,4.080074513285985,19.8773722748357,18.384001725895992,11.19777179195615,0.0,3.7532127820167256,9.976607951256861,6.048583191540846,14.714574907563797,8.231316986089764,2.1601946710715314,22.906442707215568,7.011786498412937,1.8766063910083628,7.317839468795504,0.0,10.971815048177486,3.490011512230519,19.862029658734407,0.0,29.752858486431407,0.0,2.717414818123895,0.0,30.901612870856145,0.0,12.471889994542327,28.87554976461582,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
4,0.2,0.5,1.3,0.95,1.6,90.40581446302343,82.58980551681613,112.69104094391693,116.775793156634,175.249390542438,127.42810752353351,125.88882702021195,136.45142131037917,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-6.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,4.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,2.0,6.0,0.0,23.47991382714608,0.0,0.0,0.0,23.606225968418556,0.0,2.3596746674587883,0.0,0.0,0.0,24.988813294207446,3.2338862791696217,11.359561748392572,2.0475441950464806,0.0,0.0,0.0,23.737422071874533,14.535720113906082,0.0,27.649385986780587,5.808512771355717,0.0,0.0,0.0,3.3802814714929292,0.0,0.0,2.9086824808144285,17.995954723203354,8.764662053292351,42.76621242783093,29.49295386263786,11.645935499060508,29.83647812854407,3.2338862791696217,24.45647184691459,22.642764940287925,12.980899985823406,0.0,2.9062643870050966,7.730537672305741,4.847664834336625,18.775968032708622,12.246664220025984,1.6978729639347478,28.392605347161933,9.870530066054757,1.4531321935025483,5.674865426607479,0.0,12.253177614892053,2.9086824808144285,25.85201168960555,0.0,36.78695761478988,0.0,2.1118182001386514,0.0,42.27744166413039,0.0,13.900866333110391,37.20129511299972,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
5,0.2,0.5,1.3,0.95,1.6,101.00977006946883,87.72771030987931,114.8529347271321,126.09218072362543,174.14088260923515,131.2151351932121,130.48860779409222,147.01625520077005,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,1.0,2.0,2.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,4.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,6.0,0.0,0.0,0.0,9.0,0.0,2.0,5.0,0.0,35.97312313554403,0.0,0.0,0.0,30.40865948571716,0.0,1.8599874482076384,0.0,0.0,2.942261821536574,30.86890865489709,2.6166169896064098,14.84746769709917,3.684455146740068,0.0,0.0,0.0,26.92162181041852,16.91798457151023,0.0,33.66892832723006,4.5764000179732545,0.0,0.0,0.0,2.688070711187544,0.0,0.0,2.3438585122752755,22.46572527510463,10.99974824720648,54.8267779778515,23.6095093079653,11.942800043238279,34.72638938362627,2.6166169896064098,28.02985621860891,26.126845289483235,14.320865376706749,0.0,2.326347767603694,7.489293357427575,3.8574807287291777,22.787077218074465,15.561191788617993,1.3377169283306438,32.60543071151187,12.482596692916657,1.163173883801847,7.1974299828460815,0.0,13.711539179064303,2.3438585122752755,30.726580439817955,1.4949298208650168,41.08309597542173,0.0,4.364403092340544,0.0,53.19332992856256,0.0,15.096814981624494,41.59370719824245,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
6,0.2,0.5,1.3,0.95,1.6,93.97640195589716,94.85485017909868,116.4501718752818,137.70502728002094,183.97794784193053,146.4395330595713,131.5803173385957,158.38866030705248,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,2.0,0.0,2.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,2.0,2.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,5.0,2.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,2.0,5.0,0.0,36.92627424319752,0.0,0.0,0.0,29.354724854006413,0.0,1.4810028586932162,0.0,0.0,6.538454219887498,35.5716262317204,2.1259169416669645,17.227787116989905,5.056225792179891,2.1204398766539985,0.0,0.0,30.245621099404215,18.814213519420903,0.0,37.544508863076395,3.6314283933802716,0.0,0.0,0.0,2.1647311948222097,0.0,0.0,1.8238319669616694,26.358007676079563,15.119394504872757,66.02466193728473,35.91141527099478,12.472781320947696,38.618648803021856,2.1259169416669645,30.10197242857673,27.13090444389408,11.401908632828384,0.0,1.9148700905097398,8.883493369853749,3.0470225713014516,26.71641930842513,23.446095106616795,2.6196741838690114,38.68286046749732,14.91469796149807,0.9574350452548699,5.797512608186295,0.0,15.24118453050103,1.8238319669616694,35.04566186163972,1.1902076692083674,45.31008365684374,0.0,6.36685683617258,0.0,63.72249181578978,0.0,16.245556091719777,45.83935556337032,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
7,0.2,0.5,1.3,0.95,1.6,96.64699656730785,97.48172096694026,120.1742136590618,152.54282921039027,187.626640820816,155.79829263502347,139.00592414373213,167.45824666840946,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,4.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,3.0,4.0,0.0,39.00090577450503,0.0,0.0,0.0,35.51275696208551,0.0,1.1618138307173087,0.0,0.0,9.813882159473028,39.325539825634294,1.7345955380638693,19.802945797200035,4.17067180519465,1.6625658413743716,0.0,0.0,33.794823130430544,20.326629682616176,0.0,42.085161623358154,2.996079222656926,0.0,0.0,0.0,1.7547215055436636,0.0,0.0,1.4636779138107714,31.25848421892973,20.409601642487036,76.68482392961909,36.2633065277546,13.203001221083674,41.7230819801069,1.7345955380638693,32.893762752639006,31.896091202628064,8.941281598539877,0.0,1.4543146385563717,10.289018464633347,2.3975421544725957,30.756561227419077,24.792252026841503,2.1613874456272923,43.16427114850307,19.811425528970204,0.7271573192781858,7.78437180312338,0.0,16.914319841059974,1.4636779138107714,43.18452007121738,0.9332933415988385,47.027063853643604,0.0,5.16605387219563,0.0,74.38562901885089,0.0,18.157855784104367,48.77718799325855,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
8,0.2,0.5,1.3,0.95,1.6,100.26980017258477,89.18551740344093,122.64675656877485,168.80269728155184,187.5491826257864,169.37284794706378,150.38124732011093,176.78057191324666,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-6.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,2.0,4.0,0.0,42.366241654091475,0.0,0.0,0.0,40.19425229555785,0.0,0.9320902229354302,0.0,0.0,7.766260998119825,42.9105761388844,1.4263835079269107,15.612328720526179,3.358820602356573,1.3339314356270289,0.0,0.0,36.25227821795266,21.832016152396,0.0,45.37226114230564,2.4129850561205437,0.0,0.0,0.0,1.3900909840382427,0.0,0.0,1.153029783311339,35.29930045240147,25.410829879009952,88.77223018279084,38.14814415091414,13.619424056221533,44.81308578649706,1.4263835079269107,34.841849748832225,30.74936127986785,7.173718095526647,0.0,1.1534652366241887,11.313628830621155,1.9025096476126553,35.21129613574872,31.742572210171673,1.7407483790600091,48.18520188009933,21.34620962712605,0.5767326183120943,6.163154427125237,0.0,23.82602448690249,1.153029783311339,52.49858414637767,0.7488013386247033,48.63770451945738,0.0,4.089541591016391,0.0,81.00776317942706,0.0,22.217625722827513,52.68842541997569,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
9,0.2,0.5,1.3,0.95,1.6,110.71446937858491,92.74751346569624,127.96411871360249,177.26210606684998,181.03030529395076,181.80320998273618,166.33809756008677,184.08801312165943,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,4.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,7.0,2.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,4.0,5.0,0.0,52.85448204676604,0.0,0.0,0.0,43.67933412262278,0.0,0.7588804091960902,0.0,0.0,10.06779042088213,45.92222313956963,1.1773088019719697,18.326636761445783,2.7452242990707676,1.0865572427559784,0.0,0.0,41.73155202743766,23.106413126019863,0.0,47.731908787562695,1.9724719725822788,0.0,0.0,0.0,1.0505284824917387,0.0,0.0,0.9022883108252379,39.851557184559624,30.476297650987867,91.5596616379855,30.43858783329189,13.138452059213831,47.42895325867236,1.1773088019719697,36.199739337501924,33.38295511277623,5.842536090522529,0.0,0.9207005302632956,8.50946492196427,1.5067301191027263,40.02823984756114,30.962843858770736,1.422979568904011,56.35875494083456,28.67172339533542,0.4603502651316478,4.641185358389925,0.0,30.628702556254918,0.9022883108252379,62.161020997794886,0.609884609685271,53.512892662004866,0.0,3.0769147128876755,0.0,88.79319701518983,0.0,23.65767428416516,55.13845430941675,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
