round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Human,Bot,Bot,Human,Bot,Bot,Human
1,0.2,0.5,1.3,0.95,1.6,102.5,85.625,114.0,120.375,101.125,123.0,93.75,94.5,8.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,4.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,9.5,3.25,0.0,6.5,0.0,3.25,0.0,0.0,3.25,2.375,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.25,4.75,0.0,13.0,3.25,6.5,0.0,3.25,3.25,0.0,9.5,0.0,13.0,6.5,4.875000000000001,3.25,3.25,0.0,6.5,0.0,3.25,0.0,4.875000000000001,0.0,3.25,9.750000000000002,0.0,13.0,2.375,9.750000000000002,4.875000000000001,0.0,3.25,3.25,0.0,0.0,0.0,2.375,4.875000000000001,0.0,3.25,6.5,0.0,0.0,0.0,0.0,4.75,Human,Human,Bot,Bot,Human,Bot,Bot,Human
2,0.2,0.5,1.3,0.95,1.6,92.76451424240157,86.90332710267256,125.20680119123374,125.56050346702352,108.8352989079578,131.80988001104208,97.54107030899088,102.8465282274667,4.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,8.0,12.401045253780506,7.93225174053002,0.0,5.599011828117983,0.0,2.83220541997305,0.0,0.0,5.908087849977543,7.830239252695014,0.0,0.0,0.0,0.0,6.09375,3.0712500000000005,5.908087849977543,3.7580329905300203,9.390520287468185,3.9121875000000004,10.238838149423566,10.827205419973051,11.029428993861357,6.142500000000001,9.239337849977542,3.7580329905300203,0.0,13.900983633403204,13.146250000000002,11.3288216798922,4.935678993861357,5.251398319359186,5.908087849977543,3.7580329905300203,11.115000000000002,9.511199328117984,0.0,10.827205419973051,0.0,3.715773319359186,3.3312500000000003,3.7580329905300203,11.865278484803115,7.824375000000001,23.385088149423567,4.990938576134152,7.403518490792037,5.251398319359186,0.0,3.7580329905300203,10.130092828267706,3.9121875000000004,0.0,7.995000000000001,4.029983670833957,3.715773319359186,0.0,3.7580329905300203,5.44018565653541,3.9121875000000004,0.0,3.9975000000000005,9.140625000000002,12.597997080401257,Human,Human,Bot,Bot,Human,Bot,Bot,Human
3,0.2,0.5,1.3,0.95,1.6,85.75939821206318,81.39079252424585,142.60016454054724,116.835071425052,118.56281707807759,145.09775745085906,110.84382968197983,107.28821063288137,6.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,0.0,4.0,2.0,2.0,0.0,-1.0,0.0,2.0,2.0,2.0,3.0,6.0,15.874262391122391,11.909252576565915,0.0,4.477479839991006,0.0,2.2984034043838575,0.0,0.0,10.443127773865264,12.371222312755531,0.0,0.0,0.0,0.0,4.867078382559726,2.509364055065324,4.41343434810916,2.9673907866560536,13.659430206122789,7.209338223156774,22.46483907695393,17.347200424585882,18.31980336483199,5.018728110130648,6.901235688139763,2.9673907866560536,4.069221038715097,17.08073409229291,10.680295939875538,9.19361361753543,7.112555412187854,7.6300248496493435,7.428281060987212,2.9673907866560536,13.193246457546827,15.767534425826046,0.0,21.63102152494475,0.0,6.375342822116682,2.4878013400306025,2.9673907866560536,13.816652101530515,14.418676446313548,33.14513501682947,7.178201399046635,12.253875510802883,7.6300248496493435,3.0148467128780516,8.61610704832977,16.456488775497405,7.209338223156774,0.0,10.764975919843156,5.535474096461652,8.046598905813017,3.0148467128780516,5.791748917492912,8.539947209740546,3.1286218604785088,0.0,7.524398510101012,10.470702358881795,17.617945063308525,Human,Human,Bot,Bot,Human,Bot,Bot,Human
4,0.2,0.5,1.3,0.95,1.6,90.00512830472552,76.7340015678019,158.79970211003783,116.3561194597393,125.72949787905323,165.13253870683536,112.85394446739473,70.19888879437417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,8.0,29.428381632897306,14.345383299863254,0.0,3.3761819327157703,0.0,1.8951814392491835,0.0,0.0,7.8971375350363,21.79955959102336,0.0,0.0,0.0,0.0,4.068993802056368,2.008310639685853,3.3461169966603452,2.262614012810605,14.833061971823144,9.255230610866288,33.79035804951616,18.989391235114756,26.11600768552185,9.246921547724675,5.231845229620294,2.262614012810605,8.040670373796658,18.461295256004544,8.739914297180098,17.012079991302574,9.54125938317728,6.106440915847246,5.621627265848322,2.262614012810605,20.321091899963456,19.51797917704516,0.0,31.943899927381352,0.0,5.102285596004319,1.8857282329599496,2.262614012810605,20.85445658477432,18.510461221732577,42.530272346696265,9.353937423823465,17.43832769983797,11.336741184200214,2.275510269187977,6.552275185238418,23.055498912396054,9.255230610866288,0.0,13.571055337904813,7.257682274464946,9.926691877336216,-15.139359662269987,-7.988369401935725,7.159926451035673,2.368663977403186,0.0,6.189266339356325,12.356367953228652,24.292393137556044,Human,Human,Bot,Bot,Human,Bot,Bot,Human
5,0.2,0.5,1.3,0.95,1.6,88.77272852888669,62.20471625587106,165.92832243969485,123.0196558321093,134.04442973653843,174.30209863932035,116.77268060089563,71.2408833749717,13.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,2.0,2.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.32581009938616,12.368926517100336,0.0,2.6842605383255704,0.0,1.6257313740746135,0.0,0.0,6.435345551811377,18.410760993876774,0.0,0.0,0.0,0.0,3.271930876210688,1.3186788339722155,2.724381092959328,1.7589580016060844,16.29142361485512,7.360600763769696,39.999942461911886,26.936704812641686,32.00106400749145,6.087247684459597,5.722428019730369,1.7589580016060844,11.9361401447003,20.207866808169157,15.352348924403765,19.900879469518745,11.33873443909875,4.03430002488212,6.042446657337143,1.7589580016060844,27.457369467715466,19.302987497576368,0.0,43.33970750440736,0.0,3.3749606078960137,1.5354635918192514,1.7589580016060844,27.91823822727119,26.065923174863975,47.17987402417719,11.903503441682057,17.6879481365033,7.484190041397287,3.3180655643778145,5.085335674921872,29.767052786438935,11.142174646211224,0.0,16.939117212049545,11.195885576612326,6.557049140283889,-13.788561816646563,-7.692220213376686,6.0515247243168915,5.665622333171653,0.0,5.280892594999352,13.603095660407039,29.35253009210001,Human,Human,Bot,Bot,Human,Bot,Bot,Human
6,0.2,0.5,1.3,0.95,1.6,90.85310996142636,61.65992906558289,181.57139821697245,137.74296011568728,138.24140320993436,184.5571997810175,120.39101276597647,44.66989556099688,6.0,2.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,2.0,0.0,0.0,-10.0,0.0,3.0,0.0,0.0,3.0,0.0,51.172311402326216,9.956521461868524,0.0,2.1843707824499066,0.0,1.325506314781704,0.0,0.0,7.949115102791512,23.8104916860425,0.0,0.0,0.0,0.0,2.6341100439713805,1.0518122327774797,2.1454844584409094,1.2850491812139628,17.128899501705263,9.983170592192181,45.77203157824476,33.24834601684887,40.93846433647849,4.855552551847995,4.504034686280778,1.2850491812139628,15.050894838149386,22.2803532465121,21.265401779412908,27.53021195207767,12.9214319011622,6.6911825308782715,4.75418006045182,1.2850491812139628,33.0058617951335,23.69627550333535,0.0,46.59335331984005,0.0,2.6922833499596606,1.2091131094098508,1.2850491812139628,33.38092241945786,29.197073724351355,51.64664041160903,13.8267308584439,21.827152523890113,5.970117552641436,2.6086956020109113,3.694549593538202,34.87636085325453,13.060081438847845,0.0,19.448467913098284,11.78487528039345,8.70358208483323,-24.76494899182137,-4.944538172916305,4.901488621758924,4.608258156810248,0.0,4.2996416537107915,10.949958082335861,23.40563621111872,Human,Human,Bot,Bot,Human,Bot,Bot,Human
7,0.2,0.5,1.3,0.95,1.6,84.85806413408818,61.62871015637161,196.09326261671674,151.25427758094423,145.45672189303284,195.74964730919953,120.47977712376759,31.404549579720133,5.0,2.0,0.0,2.0,0.0,0.0,2.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,51.11488979309471,9.860077818967637,0.0,1.8302253310751824,0.0,1.081351190950638,0.0,0.0,9.30745749799651,28.525844665374798,0.0,0.0,0.0,0.0,2.1137707464189055,0.7101172465813841,1.715255061352448,1.0157210906964778,18.5105656840818,12.8270211896184,50.212753962440516,39.05495217371292,48.49860701950147,3.2868664353126933,6.553493508853423,1.0157210906964778,18.361694686767763,25.18871145559291,26.051983868046463,34.40524271285983,14.280381948736109,4.425528309391276,3.8006883435017524,1.0157210906964778,39.136920850529734,28.782365388990094,0.0,49.918056371278695,0.0,1.8314498480360872,0.9666494159482157,1.0157210906964778,39.45293145839095,33.3854473838994,54.9281293740091,15.637342555619062,25.33876561715963,4.0531404134767035,5.038159355895662,2.91794175633599,40.69037290803081,10.927509987412762,0.0,21.826989349909113,12.315123791058829,5.792159975124424,-24.610012155847535,-13.658623018456407,4.072318092543279,8.332818528190124,0.0,3.502689523534556,8.78637481906256,24.007463790693542,Human,Human,Bot,Bot,Human,Bot,Bot,Human
8,0.2,0.5,1.3,0.95,1.6,80.7867680356651,60.87351264319382,209.93187453637475,163.06214479782363,156.44708329005087,207.73671131378913,121.38340421451784,28.46262375649198,11.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,2.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,6.0,50.81284690071841,10.79794702328552,0.0,1.5172289221082296,0.0,0.8815291895529361,0.0,0.0,8.496732905668809,33.41681110871903,0.0,0.0,0.0,0.0,1.6670298746601215,0.5157227541458467,1.3176243905936393,0.8044468235881775,19.86610052915612,15.53206661318381,54.82968464161672,44.47949403325498,53.934041607765224,2.3911998972160617,6.394785127306483,0.8044468235881775,21.44701994534617,28.03981199074844,30.54272565286764,40.70067292090311,15.184866989176488,3.1705993478871166,5.6704494385273,0.8044468235881775,44.88209491366244,33.65937049539997,0.0,53.31689888509463,0.0,1.3366067337783158,0.7424239027014932,0.8044468235881775,45.14502271601798,37.47165018044883,58.64943237847756,17.36527220078363,27.82702461199585,2.9542224997756077,5.227680845290142,3.3109393153910496,46.16102568046538,9.049445471958212,0.0,24.110828895502305,12.57937846876177,4.166889537148955,-19.465304697061743,-12.889799782879813,3.3536628607055228,11.812129748382688,0.0,2.851604525303651,6.931386134022012,19.091728968019655,Human,Human,Bot,Bot,Human,Bot,Bot,Human
9,0.2,0.5,1.3,0.95,1.6,78.47075849813965,65.33989118724,223.4542397434126,168.0525953401087,165.39580144151745,225.30279957115238,114.96781186285088,18.114391552036732,5.0,5.0,0.0,0.0,1.0,0.0,0.0,-5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-12.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,2.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,4.0,2.0,0.0,-6.0,-6.0,0.0,3.0,0.0,0.0,0.0,1.0,51.6931178842212,11.40607502064059,0.0,1.236715214515467,0.0,0.7130775787623849,0.0,0.0,13.088435695759074,40.534007955228205,0.0,0.0,0.0,0.0,1.3104234099008047,-3.014748673648096,1.016663505354707,0.6317769567152036,21.11106211089605,17.945947195847538,59.83662388514309,49.423279968651826,58.20789925099331,1.859214069810859,4.91238137410611,0.6317769567152036,17.401350365368575,30.580323480794632,35.00175158874933,46.372024314971156,15.890593863891663,3.840620595511993,5.665797238020714,0.6317769567152036,50.064698428420506,38.00810455180023,0.0,56.56336059674515,0.0,1.0402908698156332,0.572747911757275,0.6317769567152036,50.27963474899537,46.413564537640106,62.94592113982716,18.958259903767768,29.78076589851937,2.298355673930079,4.009675128397335,3.5809226105742002,51.10426349815019,7.37245663034722,0.0,19.472090271693364,12.778412364036422,3.2282185596521273,-22.84784032451846,-24.511995395603066,9.549212358826649,9.616626353997132,0.0,9.056341084214786,5.450598029472622,18.379676645647056,Human,Human,Bot,Bot,Human,Bot,Bot,Human
