round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
1,0.2,0.5,1.3,0.95,1.6,83.25,103.375,100.125,110.875,98.625,122.25,112.0,104.375,0.0,0.0,0.0,3.0,4.0,3.0,3.0,3.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,7.124999999999999,3.25,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.124999999999999,0.0,0.0,4.875000000000001,0.0,8.125,4.875000000000001,0.0,13.0,0.0,3.25,0.0,0.0,9.750000000000002,6.5,3.25,0.0,0.0,2.375,6.5,0.0,0.0,4.875000000000001,0.0,0.0,13.0,16.25,0.0,0.0,8.125,4.875000000000001,3.25,0.0,0.0,0.0,4.875000000000001,19.0,0.0,4.875000000000001,9.750000000000002,0.0,0.0,0.0,9.750000000000002,0.0,0.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
2,0.2,0.5,1.3,0.95,1.6,82.7420046507711,105.23877919598745,98.01961083713881,119.45934861131909,97.90018886154365,135.59354394370416,114.06964955457406,118.67080087775119,0.0,0.0,0.0,3.0,7.0,1.0,2.0,3.0,0.0,4.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,6.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.349817150771074,0.0,0.0,3.3921875000000004,0.0,10.58342973311873,2.5472525827219648,17.931534380146733,0.0,0.0,0.0,10.176562500000003,0.0,3.3596875000000006,12.718267681352,7.206875000000001,0.0,4.234294055996407,0.0,6.5004865997903885,7.5639997099116645,10.079062500000001,10.189010330887859,0.0,2.5285671507710736,13.9059375,0.0,11.192771419748468,14.143770446548885,5.9474251852822295,0.0,0.0,4.190142821717323,9.618850407995211,0.0,0.0,4.858374709911665,3.3596875000000006,6.508125,17.931534380146733,22.258773253855367,0.0,0.0,16.67704909979039,6.211187209911665,2.5877376852822285,0.0,0.0,0.0,4.234294055996407,37.03643060338374,0.0,7.5639997099116645,7.763213055846686,9.762187500000001,7.206875000000001,0.0,22.374525611992816,0.0,0.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
3,0.2,0.5,1.3,0.95,1.6,88.40779221206346,113.69945891683506,96.89757423163778,134.68687098303724,93.45319218195093,138.41131912071222,115.22531117008577,131.19938396902702,0.0,0.0,0.0,1.0,8.0,0.0,2.0,5.0,0.0,2.0,2.0,6.0,0.0,2.0,0.0,4.0,0.0,2.0,6.0,4.0,0.0,2.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,3.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.8824288298678704,24.705728416347732,0.0,0.0,8.619634965847842,0.0,10.860723507248188,5.161198719955419,26.225572917373324,9.545268414000509,2.2033950890851925,0.0,8.503300269172412,0.0,6.07445297137162,16.844061702356598,5.857503106039004,0.0,5.704681332925707,0.0,11.216875118944829,7.257864668364432,18.22335891411486,14.27352017540765,0.0,1.9744215286297562,24.691661925023887,0.0,17.06604377149665,21.80956385542686,4.6986583392538455,0.0,0.0,5.595681413870221,10.149288573399993,0.0,0.0,3.800844563606679,6.07445297137162,8.229752342516232,26.225572917373324,17.375319394936753,0.0,0.0,25.505376930907612,7.546190979348101,2.044465691751817,0.0,0.0,0.0,3.5012862438405143,50.93336825514534,0.0,12.636094970664555,12.973917722994637,10.75180983767084,9.739931935906874,0.0,33.89762950179011,0.0,0.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
4,0.2,0.5,1.3,0.95,1.6,88.7370223227528,115.143564202733,96.86440765333366,144.01275738937196,95.07756552107936,146.39804451484295,115.66755741286593,150.33552594419507,0.0,0.0,0.0,3.0,8.0,0.0,0.0,5.0,0.0,2.0,2.0,6.0,0.0,2.0,0.0,4.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,4.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.226553129756419,31.060437559349545,0.0,0.0,13.49003163364682,0.0,11.5292029143585,7.16664551508686,34.94245070243387,7.30177748617069,6.239656184293022,0.0,7.00383140039006,0.0,8.633733261885041,20.016818498444366,4.870827594969863,0.0,6.753743682315017,0.0,15.629284615719364,10.17407775648196,25.90119978565513,14.262514077252272,0.0,1.5140586322183873,30.75575563268763,0.0,20.445151505076584,29.120455758054117,3.819422818560313,0.0,0.0,13.16286355511871,8.01482338934621,0.0,0.0,3.0696051387776375,8.633733261885041,9.555114606760753,34.94245070243387,13.316613632529403,0.0,0.0,35.92052717245625,6.097534035402763,1.6618239538120858,0.0,0.0,0.0,5.012455369445143,61.93574405420594,0.0,17.39568439788605,17.937740655709888,14.668118867527623,16.852027338623703,0.0,42.52195468444779,0.0,0.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
5,0.2,0.5,1.3,0.95,1.6,90.94116385732192,120.58472602219805,100.42259722473358,158.9435155010382,94.41839453305842,154.1695833996273,113.48193500030843,164.6753873958831,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,2.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,5.0,0.0,3.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.6134279607904065,36.90171173265869,0.0,0.0,18.658024163872813,0.0,9.0840357130374,8.762606319330494,42.34297407769551,11.95004053662954,9.781968146398793,0.0,5.895101229106309,0.0,10.544538296172414,22.585660245012065,8.626398284561711,0.0,5.439361241684442,0.0,20.458639157302954,7.986454277212767,39.117946561694886,14.325957476155589,0.0,1.1972631426633602,39.03838040327112,0.0,24.50951364004048,37.270922828224364,3.009473314219115,0.0,0.0,14.914517654359573,6.455480736255358,0.0,0.0,2.412680722955171,10.544538296172414,10.63460069398975,40.002766770118214,10.528646961274955,0.0,0.0,47.27834995511678,4.787973816530749,1.309469969387395,0.0,0.0,0.0,4.037395070690158,70.57909614370013,0.0,22.30307653869816,17.875313974254748,17.787990455288536,20.667933265263525,0.0,53.273073162378125,0.0,0.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
6,0.2,0.5,1.3,0.95,1.6,95.79239334535362,121.03375200173112,108.65991201069292,167.05022293231139,91.94672020635993,172.0229013178801,110.55990650645302,179.14222466658498,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,2.0,8.0,0.0,4.0,0.0,2.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,3.0,10.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.1493686065978794,44.12035092911022,0.0,0.0,23.308273809645513,0.0,7.2657801044197985,10.238352935666372,50.30504145241197,9.317937709240653,12.856310389086238,0.0,4.835929410906082,0.0,12.352942745013216,25.132939150618924,9.673858142667537,6.137195644648798,4.363198644058085,0.0,24.78537768368634,6.3229814516297544,46.96408937118853,14.667747133696258,0.0,0.9356397982400667,43.837956602839405,0.0,28.107408574717383,44.27611651901324,2.407099751495987,0.0,0.0,13.870673410581832,5.178430525268863,0.0,0.0,1.9115195699451286,16.271946340734655,11.728665115091413,48.382841881493306,8.225299412555064,1.8307638028705744,0.0,57.457465195189954,3.7913764158006447,1.0473681640528392,0.0,0.0,0.0,3.2387485424621247,76.26801338413739,0.0,26.518865214093772,18.2163944413635,20.68597322923825,24.734749743707376,0.0,62.7718420381821,0.0,0.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
7,0.2,0.5,1.3,0.95,1.6,81.6100141727691,122.44744368343984,107.77354745901648,176.55090751858762,107.94748592865024,188.5757487558156,107.44863336145674,199.66723415811816,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,2.0,8.0,0.0,4.0,0.0,2.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,3.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.7215380547556618,34.08549458294322,0.0,0.0,24.83146153507021,0.0,5.689528584561029,11.849085106553645,56.577670376501274,7.202930972406701,16.2057496724956,0.0,3.950958970921572,0.0,13.604992500803474,28.15788580019819,7.7479884961631145,4.734507501536912,3.6073318029042953,0.0,28.949321357410476,5.068939922411369,52.502930274561116,15.443886993935504,0.0,0.7254871995580864,50.17540417578783,0.0,31.66273895233372,52.6208491929046,1.8849812834613016,0.0,0.0,28.18731985676103,4.2828155955232905,0.0,0.0,1.5321859893274397,20.60658197475184,13.0588826962256,52.32360088332851,6.375009949654764,3.5542515726007653,0.0,70.15371568992667,3.039321308916641,0.8202340167236093,0.0,0.0,0.0,2.679079589784222,79.93847844603226,0.0,29.04433960957302,18.19642139525286,23.867884747596925,33.383230396539545,0.0,74.20383800915582,0.0,0.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
8,0.2,0.5,1.3,0.95,1.6,91.34084112064828,124.99960221032244,110.55334950682766,186.4008920126544,103.68783943378048,202.93918825115236,104.13490344883769,222.33004833286955,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,2.0,8.0,0.0,4.0,0.0,2.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,4.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,2.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.3865203850742773,42.873642235101755,0.0,0.0,30.303462500472232,0.0,4.483995903687947,12.747567683527372,59.89880862414881,6.088785103339115,21.71857072934568,0.0,3.2846581662735073,0.0,14.699235507039983,29.651126223221386,11.976771077141311,4.015147678074366,2.9638833081595672,0.0,30.469969713191038,3.7042756360154927,57.28589307029855,15.557141533029588,0.0,0.6102847350846264,56.49671003374959,0.0,35.96937100447653,52.86370578623129,1.4856258242386375,0.0,0.0,29.041455516073864,3.5198363072366727,0.0,0.0,1.1270047670199177,24.194721915606017,13.692732068199225,56.47401406877457,5.366476122628339,1.2404973543878173,0.0,84.06652595453646,2.2246771468802673,0.646484771057024,0.0,0.0,0.0,2.2021118576324468,82.28441367326795,0.0,27.761050406042372,18.317806742015488,25.62793431206452,38.35320454380374,7.016586585362266,88.47624974358115,0.0,0.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
9,0.2,0.5,1.3,0.95,1.6,79.63579015700955,128.4619212647787,120.86172461466452,197.11919075720598,119.27531247601064,219.88940632565314,100.8049757058626,233.0215600580788,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,2.0,8.0,0.0,4.0,0.0,2.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,3.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.1126513793332216,32.85788194307559,0.0,0.0,32.24348403460072,0.0,3.5402027256377515,13.67721403810954,66.23390328095968,4.670888428311892,24.195487915298006,0.0,2.722452076461823,0.0,15.663818216618871,31.33422160381046,15.667544939937134,3.072612974100275,5.701662491627188,0.0,36.000091588570584,3.0458895340787535,61.46212651201857,15.9017401143159,0.0,0.46989926188548986,62.27509298394563,0.0,40.54266955096161,59.902199525524466,1.1729632429214423,0.0,0.0,41.923170826781075,2.8552060807836583,0.0,0.0,0.9248123443779156,27.219515740039526,14.42543051645432,60.45708884292066,4.1298100095523615,1.0055602693873131,0.0,98.30541580292102,1.8283427108615324,0.5104455867986935,0.0,0.0,0.0,1.7864257372738246,83.25798887092854,0.0,30.30056403712959,18.520753188597023,27.459629515249382,39.85903202494869,5.374670256801302,98.08513823535277,0.0,0.0,Human,Bot,Bot,Human,Bot,Human,Bot,Human
