round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
1,0.2,0.5,1.3,0.95,1.6,106.5,100.25,115.625,96.75,108.375,102.625,85.625,117.375,10.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,0.0,6.0,0.0,0.0,6.0,4.0,0.0,0.0,11.875,3.25,0.0,0.0,0.0,6.5,4.875000000000001,0.0,6.5,2.375,0.0,0.0,0.0,0.0,1.625,9.750000000000002,0.0,3.25,4.75,6.5,13.0,6.5,1.625,0.0,0.0,3.25,0.0,11.875,0.0,0.0,1.625,0.0,0.0,3.25,9.750000000000002,0.0,2.375,0.0,3.25,9.750000000000002,0.0,3.25,0.0,3.25,0.0,4.75,4.875000000000001,6.5,0.0,3.25,0.0,0.0,0.0,0.0,2.375,0.0,3.25,3.25,9.750000000000002,0.0,9.750000000000002,6.5,4.875000000000001,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
2,0.2,0.5,1.3,0.95,1.6,106.6590398771568,102.42393461646664,123.55947111777947,84.82970719242311,121.58306615716431,105.17054880907729,93.29080938203302,129.58109750093774,6.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,2.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,17.1957394036009,9.067682858214555,0.0,6.28875,0.0,5.162160540135034,4.944707075206302,0.0,8.720154726181548,7.816852377156789,0.0,6.28875,0.0,3.3353125,3.967246108402101,8.295618904726183,0.0,2.551432858214554,9.501714881845462,5.015483870967742,24.700182858214557,5.162160540135034,1.1844336084021005,11.444062500000001,0.0,2.551432858214554,0.0,13.758528225806451,0.0,3.3353125,1.1844336084021005,0.0,0.0,2.551432858214554,27.01914502063016,0.0,4.512533406789197,0.0,3.7602734668042013,19.739681404726184,6.922500000000001,2.551432858214554,0.0,2.507741935483871,0.0,11.084379337021756,4.944707075206302,13.15978760315079,6.922500000000001,4.180495358214554,0.0,6.28875,0.0,0.0,11.899064023818454,0.0,2.6294523630907736,12.325807858214555,11.987895020630159,0.0,18.525137143660917,15.168098040135035,4.944707075206302,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
3,0.2,0.5,1.3,0.95,1.6,117.32908816417572,111.17658138837834,133.0981347537735,85.68962140190274,129.8259184319908,101.78547332334334,89.39730124623435,141.04053106678393,6.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,6.0,4.0,0.0,0.0,21.094802552881234,13.845522506913722,0.0,10.14858956824662,0.0,10.93435648952343,10.105817046610706,0.0,13.776415374109154,6.196384639853829,0.0,10.14858956824662,0.0,9.483860574431933,9.309864987065492,11.06146624467131,0.0,5.351558893736421,13.574372950848154,3.7079207855640335,36.34238013894537,4.0982708169334074,0.967573299264755,17.856057868481344,6.9328375920151935,3.6871699562188383,0.0,14.190363042729897,0.0,2.6477749018419106,7.031475909096902,0.0,0.0,2.0227810187012554,37.97179886800806,0.0,6.639473294615019,0.0,3.0743411375138052,28.917524113152655,5.433484284845461,8.680336768771587,0.0,1.8539603927820167,0.0,11.297428031397265,4.04191443677856,19.278349408768435,8.899903080853058,4.978466390754372,0.0,10.14858956824662,0.0,0.0,14.17034220638029,0.0,2.0634178198356152,16.428115375984788,17.754574298631745,0.0,27.25678510420903,22.29572403134418,4.04191443677856,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
4,0.2,0.5,1.3,0.95,1.6,130.33377287582476,116.01712367663745,139.41288923770296,83.37166014571832,142.45756613513475,104.67446984393509,84.75284952346712,152.95188713485632,6.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,6.0,4.0,0.0,0.0,25.64501894613612,18.495419453663832,0.0,13.545180661311313,0.0,16.682034904434424,15.006118910279067,0.0,18.915509333724696,5.042729970094854,0.0,13.545180661311313,0.0,13.911112230406152,10.032803058337223,13.609788422763213,0.0,4.355428293437772,17.33205945873705,2.9184228959044094,46.22257881325045,3.1540524254671767,0.7431750408061963,23.727172310099903,9.495168196205617,3.0005967040820845,0.0,15.230135389245168,0.0,2.037143692943236,12.648616163242203,0.0,0.0,5.259004009848693,48.09958905450378,0.0,8.444509590882294,0.0,2.357502747036865,37.33696073286312,8.264291558367612,16.098188709954886,0.0,1.4592114479522047,0.0,9.900793184575239,3.1006777878430607,24.891307155242075,11.105277973802565,4.051559251899607,0.0,13.545180661311313,0.0,0.0,15.090831636453633,0.0,1.6907988378337082,22.40396399686002,23.053076091890425,0.0,34.66693410993784,27.07643631049126,3.1006777878430607,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
5,0.2,0.5,1.3,0.95,1.6,128.40292055780805,127.99324585658309,151.43792100799826,83.07834411419407,150.17865831099823,105.96995863464304,83.81257361026525,166.0192054897179,6.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,6.0,2.0,2.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,3.0,4.0,0.0,6.0,3.0,0.0,0.0,30.412539832128516,14.757040031317946,0.0,13.165914239779411,0.0,21.721827688368226,15.577598766213956,0.0,24.054235037032402,10.912012954748459,0.0,13.165914239779411,0.0,19.526351347853392,9.029963000146541,18.53676927702287,0.0,7.245639539543792,20.476728544002846,2.2619135098920524,56.36623683237168,2.4997258882246434,0.5693330794525088,29.250343614510733,12.058774255480238,2.3941287064069874,0.0,17.713740867524745,0.0,1.614408852052466,16.529291432729632,0.0,0.0,7.966690079286522,52.04187068028536,0.0,10.297677882837135,0.0,1.8027749429970041,45.30164472559219,11.04237948234679,20.38550260391394,0.0,3.8405357096818724,0.0,7.845804498464216,2.372108022449513,27.715628317786702,13.383667235124376,3.232661218882711,0.0,15.875493194515258,0.0,0.0,18.55275196174288,0.0,1.393085832708119,23.53141941902292,32.020488605621054,0.0,42.27467762427878,31.659425985637515,2.372108022449513,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
6,0.2,0.5,1.3,0.95,1.6,129.9453122648034,120.87828768301296,164.5202801492748,85.26859254398717,156.39958244966084,112.67244644154529,90.8293376555765,182.96894395662358,6.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,4.0,2.0,3.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,6.0,2.0,2.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,2.0,5.0,0.0,6.0,3.0,0.0,0.0,32.76361823489071,20.455206529390445,0.0,13.002201555196548,0.0,23.999776197365065,13.51010974796063,0.0,22.851860616690306,8.972923099086872,0.0,13.002201555196548,0.0,22.269774833034344,7.043913356135033,20.523214222869836,0.0,8.038217264458803,23.90257920396406,1.7749670210149535,64.8208395611986,1.9706041296403496,0.4453104796391517,37.353362489358894,13.536381866602763,6.128401034701214,0.0,19.7851476111622,0.0,1.2725366605520443,18.331725370968936,0.0,0.0,6.550368555919967,57.231944193993826,0.0,11.842268765988205,0.0,1.4086873551366916,53.15191357862213,16.922460544267857,25.08296065431898,0.0,5.704880216909384,0.0,6.1838012724650575,1.8539978347758432,30.709945918808152,14.56598718985194,6.818018335601106,0.0,17.819598261598454,0.0,0.0,25.41133386852497,0.0,1.0811607427791103,25.590526171906003,40.89443359070074,0.0,48.615629670898954,38.718795945562924,1.8539978347758432,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
7,0.2,0.5,1.3,0.95,1.6,133.09909876530102,123.67190008935793,177.34710109647128,82.13093966847076,175.7366959064149,84.3113089327049,107.61091121135122,192.61206501398505,6.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,4.0,1.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,4.0,2.0,2.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,2.0,5.0,0.0,6.0,3.0,0.0,0.0,35.035478514333576,23.4070233732817,0.0,13.078226313622583,0.0,26.671101846763566,13.93574871729959,0.0,22.202506134512756,8.253297623706048,5.346909104851432,13.078226313622583,0.0,25.276766180000934,5.724870559627133,22.81780417303703,0.0,12.002331079153485,23.400011219122028,1.4089191135284873,72.05388235414138,1.5879135883738826,0.3613100947376137,45.56121364741439,14.872917726006577,8.589618668104004,0.0,21.75982007996645,0.0,1.0254690596203053,14.911594134773408,0.0,0.0,10.870859468083957,68.061687429623,0.0,13.163690045468133,0.0,1.1436624280350312,61.52527653520477,21.761039926291787,19.06697268956484,0.0,7.292495457493074,0.0,4.983413141920772,-23.927242020788775,34.1631097382232,15.683351992242965,5.184928652760063,0.0,19.666262214351413,0.0,0.0,46.10484835199677,0.0,0.8503676106849917,25.342393700372156,44.042243837116466,0.0,54.04041176560604,45.86015557743275,1.5049725227726451,0.0,Bot,Human,Bot,Bot,Bot,Human,Human,Human
8,0.2,0.5,1.3,0.95,1.6,134.74034072051978,122.85287581820623,186.1093439298963,83.47575825726386,197.07204765118615,89.27583338273432,88.33925284856933,189.6022604499226,8.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,4.0,2.0,2.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,-11.0,0.0,2.0,0.0,0.0,2.0,0.0,-8.0,4.0,0.0,0.0,3.0,5.0,0.0,6.0,1.0,-1.0,0.0,40.57377328624679,30.707760453989305,0.0,12.80482690028165,0.0,18.444341668885244,15.432422411116766,0.0,26.35086791425139,6.575822455103214,10.13730305726034,12.80482690028165,0.0,17.475088836723014,4.892078070220432,27.83967258436617,0.0,13.582021830989554,23.36672690439278,1.0975692340981433,77.38667097373559,1.1086128475525738,0.3066564484990447,52.4838696906286,16.181986718138894,8.85355416884161,0.0,24.66474131365682,0.0,0.7151163976697172,16.283143658956803,0.0,0.0,12.680442991180065,78.76252262379577,0.0,19.355132664538772,0.0,0.9730685245852246,68.5236648470863,21.673039867989758,21.221429791982686,0.0,8.31565749033285,0.0,19.898192461352004,-29.36232197592811,30.752619747005127,12.502400290144784,4.131452949420466,0.0,15.233188695114826,0.0,-11.42007828576987,53.48685128245592,-2.371778082796811,0.6778619840764031,24.21112941254326,47.57594962917666,2.6692555392253,62.32358519302055,31.715759635999316,1.2797249730842695,2.371778082796811,Bot,Human,Bot,Bot,Bot,Human,Human,Human
9,0.2,0.5,1.3,0.95,1.6,138.895923799619,98.07167277361734,196.94605091157004,77.56753772500267,216.68147756570332,107.04064183644834,71.86411879671869,196.51019623263414,10.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,-12.0,0.0,2.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,6.0,0.0,-1.0,0.0,48.434850339974375,32.30717458759234,0.0,15.681442481299836,0.0,15.026669093570565,14.02401449718188,0.0,29.822875546882017,6.667609886404663,14.301808159211852,10.255518194577686,0.0,14.237558087210088,-18.73211199104507,28.096642090376097,0.0,16.7463076945669,23.456164975604153,0.8788723338977622,84.55491573522151,0.9020524693505388,0.22457735085294553,56.76138755207624,12.935786869780296,7.012733796559495,0.0,25.702176522106615,0.0,0.5819618686309904,11.751032403302798,6.162073464622485,0.0,16.032012681626895,88.3482133573285,0.0,25.693163379041007,0.0,0.7099505826892664,72.47636476501765,21.70438557412548,18.80630583945057,0.0,6.6603304505924585,0.0,42.56235996412303,-20.339799078664015,24.225286286820793,9.9943939927935,5.269590306660542,0.0,20.339248059081832,0.0,-31.402149323016,60.03068579157946,-5.789422830380661,0.541876216407027,25.166439608324474,50.85094102015571,2.1380254246113295,71.82838884708237,25.838801552130384,0.9345279335422121,5.789422830380661,Bot,Human,Bot,Bot,Bot,Human,Human,Human
