round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
1,0.2,0.5,1.3,0.95,1.6,103.9375,129.875,84.875,118.875,89.625,116.875,93.0,93.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.1875,0.0,3.25,3.25,3.25,0.0,13.0,0.0,14.625,19.0,3.25,0.0,0.0,0.0,13.0,0.0,1.625,0.0,0.0,3.25,0.0,0.0,0.0,0.0,1.625,0.0,3.25,4.75,3.25,0.0,0.0,26.0,1.625,0.0,3.25,0.0,4.75,0.0,0.0,0.0,1.625,0.0,3.25,6.5,6.5,19.0,0.0,0.0,1.625,0.0,4.875000000000001,3.25,3.25,0.0,0.0,0.0,1.625,0.0,4.875000000000001,3.25,3.25,0.0,0.0,0.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
2,0.2,0.5,1.3,0.95,1.6,111.27789251327086,124.68569861315038,96.03701596147692,137.62967067027148,86.19300690954185,106.73235127955351,110.0574080512104,94.6899861762104,0.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,0.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.9508226037195995,12.662812500000001,6.5010701495557575,2.789405918229049,2.42292749039982,0.0,21.950853851366617,0.0,11.710131014230857,23.28208109799714,3.7426326495557567,0.0,0.0,0.0,21.950853851366617,0.0,2.9901100432478733,0.0,4.0315625,6.652843418229049,14.5640625,3.7984375000000004,0.0,0.0,2.9901100432478733,0.0,7.880288899555757,9.723386534334765,5.33573999039982,3.7984375000000004,0.0,43.90170770273323,2.9901100432478733,0.0,3.7426326495557567,3.8634375,7.7983892167381965,3.7984375000000004,0.0,0.0,1.301125668247873,0.0,3.7426326495557567,5.578811836458098,4.84585498079964,27.26392614449213,0.0,0.0,23.25792254324788,12.662812500000001,4.924339599333635,2.789405918229049,2.42292749039982,0.0,0.0,0.0,1.301125668247873,0.0,4.924339599333635,18.24315591822905,2.42292749039982,3.7984375000000004,0.0,0.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
3,0.2,0.5,1.3,0.95,1.6,114.2217041414319,128.9339254246293,101.06828115568155,153.42770341800428,89.88767601889555,106.56906342959425,120.12070638831571,97.81082649791185,0.0,4.0,1.0,0.0,0.0,0.0,11.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,0.0,2.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.770042213010842,17.823639700450727,5.408651683212205,2.3602754056399706,1.8668457419582063,0.0,34.79224939715995,0.0,16.71674079465403,26.691397840178197,3.1104031543014643,0.0,0.0,0.0,31.215383635495613,0.0,4.229850227014214,0.0,4.499418183719774,14.563940099042036,16.7901520404029,9.784920605502611,0.0,0.0,2.4215844736735628,0.0,12.800181985163576,8.210939892616414,9.706912509334964,9.784920605502611,0.0,59.303163951713145,2.4215844736735628,0.0,15.595215229293466,7.730700396618243,10.092858146978632,2.847317772331632,0.0,0.0,1.0537419756990472,0.0,7.792207682423465,9.193515108063764,9.336236933036634,27.99336173037133,0.0,0.0,38.72661773611492,21.875924905378117,4.091042599224512,2.3602754056399706,1.8668457419582063,0.0,0.0,0.0,1.0537419756990472,0.0,4.091042599224512,33.28307699211294,1.8668457419582063,6.3161191889171215,0.0,0.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
4,0.2,0.5,1.3,0.95,1.6,117.8000903241875,133.56318428737737,108.99249191455038,160.50043708183057,94.39065118922682,107.72399304601069,130.48476457506635,105.80603180921683,0.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.6085778902782011,22.523641606780807,4.328587796575397,1.951704093093772,1.4879936472674438,0.0,45.93958529019186,0.0,20.6368462853266,30.357138776916127,2.4892551862503853,0.0,0.0,0.0,39.11994403888425,0.0,3.3431616498794927,0.0,6.001328861932933,21.98485009780316,22.142038199772678,14.561113105162107,0.0,0.0,1.9138320645974138,0.0,10.24409570263737,6.781874154894182,13.577059083707688,14.561113105162107,0.0,72.46246297083178,1.9138320645974138,0.0,25.619814938287924,11.360835798271609,12.311969712651521,2.2241986754183416,0.0,0.0,0.8327907972228017,0.0,16.090293799603938,12.575718392625326,10.360797437181446,26.90439261937717,0.0,0.0,52.88218501877485,29.928832189135964,3.274049626794325,1.951704093093772,1.4879936472674438,0.0,0.0,0.0,0.8327907972228017,0.0,3.274049626794325,47.39504728618021,1.4879936472674438,11.856150451752038,0.0,0.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
5,0.2,0.5,1.3,0.95,1.6,124.64306368718155,142.69508736679552,108.36720144079939,157.71634647971754,113.55057921788682,128.89660455924619,134.07733022939445,100.0323561048782,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.4821252787432328,26.567248386827146,3.506873164387232,1.5565276551566942,1.1895564643045529,0.0,58.57273273776268,0.0,29.749239370679085,33.61650783583885,2.016031286621642,0.0,0.0,0.0,44.54530887365593,0.0,2.64865912823371,0.0,4.862936857119524,22.755119832406493,26.90284034331355,18.429645279726117,0.0,0.0,1.5161760861138418,0.0,10.070708075290122,5.409265599172713,16.988539189193077,18.429645279726117,0.0,72.53401225022166,1.5161760861138418,0.0,36.694914877010184,19.495966800081717,14.325512475175197,8.75000897950586,0.0,0.0,0.6597503814381082,0.0,23.661383500397974,20.464473302959945,11.349949656877904,26.238263582374053,0.0,13.754784135198191,59.124241700094544,36.787667949347565,2.6513364604910654,1.5565276551566942,1.1895564643045529,0.0,0.0,0.0,0.6597503814381082,0.0,2.6513364604910654,53.45907382968611,1.1895564643045529,9.304638968958361,0.0,0.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
6,0.2,0.5,1.3,0.95,1.6,130.28631906984964,149.31923450595158,114.32122672637279,166.3148463688071,113.60712132762556,140.20905432165563,141.71296307588202,102.81360537672292,0.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,6.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.3866476756260401,30.682550239975825,2.726141374085236,1.19768857169893,1.0114082804419424,0.0,68.06748292802165,0.0,36.01065956268715,37.258927148888034,1.5684111740213789,0.0,0.0,0.0,48.266836620355,0.0,2.1241015917873316,0.0,5.065623646297674,22.708821361037355,34.10755498535713,24.100725141893278,0.0,0.0,1.2159189263898147,0.0,13.111925396805393,11.659363388403172,21.92741418633242,24.100725141893278,0.0,68.08509932898302,1.2159189263898147,0.0,40.860845702675036,20.196241713511114,17.652843987132137,7.466870997917448,0.0,0.0,0.5290968192777391,0.0,27.20448192532143,20.937629528712343,13.400376039421811,28.476474414326603,0.0,23.4465955945957,67.67000822616549,43.55627378655952,2.0631842110161043,1.19768857169893,1.0114082804419424,0.0,0.0,0.0,0.5290968192777391,0.0,2.0631842110161043,56.68757408365864,1.0114082804419424,16.307941982328487,0.0,0.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
7,0.2,0.5,1.3,0.95,1.6,143.3556950799712,150.36802924121497,118.20691762118946,168.00828924026763,120.03519054204222,156.112054346364,146.87289590979216,107.95349908442888,4.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,6.497500408924739,34.23199340832551,2.187918491632294,0.9613968813660426,0.7917163293847196,0.0,77.7136495603379,0.0,35.120933742268356,40.42171531281444,1.258649650249455,0.0,0.0,0.0,52.59521053588274,0.0,1.6969990799378583,0.0,5.423262093328014,23.627207101039268,37.720414464487845,28.76751488239647,0.0,0.0,0.971421626698708,0.0,16.096531745788013,9.35666621612546,24.51379482303198,28.76751488239647,0.0,67.330839946227,0.971421626698708,0.0,45.79733836342697,27.015905989960174,19.187874326137333,6.091130235819026,0.0,0.0,0.4227056095146792,0.0,31.12183246222763,27.611298285756476,14.161915273731909,29.877225440552603,0.0,31.945557274580704,73.11713382638843,49.37547160762451,1.6556572650284729,0.9613968813660426,0.7917163293847196,0.0,0.0,0.0,0.4227056095146792,0.0,1.6556572650284729,61.70277446435088,0.7917163293847196,22.409125416150125,0.0,0.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
8,0.2,0.5,1.3,0.95,1.6,145.09855912994243,159.11283021206464,123.75455580371334,182.63741467062127,118.27602935333749,165.51083543493291,158.3774410005866,112.52875645686058,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,6.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,5.323963321271168,36.609574715886964,1.7375731917897195,0.7530974102415007,0.6353663238787643,0.0,83.26176816687429,0.0,40.42306572119833,42.394244467442164,0.999777429053806,0.0,0.0,0.0,58.518526594370314,0.0,1.3900621313389858,0.0,5.710282202071332,24.01013583196611,41.983484955453264,33.88337468288364,0.0,0.0,0.7958212755076804,0.0,20.466239634566694,15.321736906778632,27.4806835554825,33.88337468288364,0.0,67.91234261540211,0.7958212755076804,0.0,47.895911782755256,26.672160814634154,21.10454165594415,5.030377824496253,0.0,0.0,0.34629866112829594,0.0,34.32022796851744,27.13721208654124,15.269429841830249,32.063363924145094,0.0,39.59708695277058,85.529963663436,53.36658040013357,1.3152172028967302,0.7530974102415007,0.6353663238787643,0.0,0.0,0.0,0.34629866112829594,0.0,1.3152172028967302,64.82420971332624,0.6353663238787643,28.630448555630537,0.0,0.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
9,0.2,0.5,1.3,0.95,1.6,155.1492529865576,161.37210919903467,135.48939048550523,184.7296631050873,111.95013903448023,180.69900961060276,173.8430110280537,119.62030909203511,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,6.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,4.182725681210356,39.755934940979785,3.3997520152712,0.6144648061631831,0.49400221003665595,0.0,93.28060053289641,0.0,38.83669738111085,45.399239322998305,0.7990842584414243,0.0,0.0,0.0,62.91531543648407,0.0,1.0923484973533648,0.0,13.381346528172825,25.486501555628244,44.091172041951076,38.0162490623997,0.0,0.0,0.625318008011127,0.0,22.390346442555146,12.481133372638483,29.000288007240307,38.0162490623997,0.0,68.79455541224252,0.625318008011127,0.0,38.2802495246526,33.58845199755845,21.986533093715764,4.047813610542283,0.0,0.0,0.2721024259085047,0.0,37.485081071710155,33.96892011806322,15.687037600163379,33.65568998968624,0.0,46.20840560507126,97.8599084820185,58.39063886661776,3.0622238632176195,0.6144648061631831,0.49400221003665595,0.0,0.0,0.0,0.2721024259085047,0.0,1.0512123314072779,70.59212756396377,0.49400221003665595,33.78909176071888,0.0,0.0,Human,Bot,Human,Bot,Bot,Bot,Human,Human
