round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Bot,Bot,Human,Human,Bot,Bot,Human
1,0.2,0.5,1.3,0.95,1.6,123.625,122.125,93.75,112.5,90.9375,118.125,84.75,93.0,8.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,4.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,6.5,0.0,0.0,8.125,3.25,3.25,13.0,0.0,4.75,0.0,0.0,8.125,9.750000000000002,6.5,13.0,3.25,0.0,2.375,0.0,8.125,0.0,0.0,0.0,3.25,6.5,13.0,0.0,0.0,9.750000000000002,0.0,0.0,3.25,6.5,0.0,0.0,1.1875,0.0,0.0,0.0,3.25,0.0,0.0,26.0,0.0,2.375,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,9.750000000000002,0.0,0.0,0.0,3.25,0.0,Human,Bot,Bot,Human,Human,Bot,Bot,Human
2,0.2,0.5,1.3,0.95,1.6,130.26320647795433,129.89023028858696,99.83894099615344,113.81735717345953,97.01543996174374,135.2042932135273,90.12449249310782,84.72284367781836,6.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,2.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,17.088662741692122,5.628328738544074,6.09375,0.0,13.457388811144847,2.76457044929588,2.350771179494822,18.879734557782584,8.035625000000001,7.013478212782208,0.0,0.0,13.457388811144847,8.293711347887642,10.210292358989644,18.879734557782584,2.832762089263096,3.9690625000000006,4.0259775957454735,0.0,13.457388811144847,0.0,5.50875,6.045000000000001,6.850574589263097,5.628328738544074,9.8494299977647,0.0,0.0,27.489023847887644,0.0,0.0,2.832762089263096,13.566453738544075,9.140625000000002,0.0,1.9668491339365546,0.0,5.50875,0.0,10.868387089263097,0.0,0.0,50.80863199463528,0.0,4.8257317706392975,4.701542358989644,0.0,0.0,7.938125000000001,3.046875,0.0,0.0,7.6781250000000005,7.461367493107817,0.0,0.0,7.938125000000001,10.433947498323526,0.0,0.0,0.0,2.350771179494822,0.0,Human,Bot,Bot,Human,Human,Bot,Bot,Human
3,0.2,0.5,1.3,0.95,1.6,124.01199025953667,149.02400303938933,114.01528808698032,122.00667482670309,93.86405250219227,148.89333403430481,89.54231634161408,84.8305838928118,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,19.88245196592026,4.533661421772769,4.909355239537905,0.0,10.848715716949645,11.105301809470378,1.8912379641481725,19.641266141737535,14.906470649210004,8.73317305749031,3.244765582374987,0.0,18.731220213841326,6.951068251773304,22.862546723432743,22.394758561266634,10.737461942272011,7.416996446371866,5.614087437041117,0.0,18.731220213841326,0.0,10.29293277705838,10.02258927039561,5.490034635276466,4.533661421772769,7.931968952070361,0.0,7.882504496891679,44.96850532069179,0.0,0.0,2.2703535212049792,19.3676543145165,13.853564024056832,0.0,2.7376398774075774,0.0,4.434840765006372,0.0,17.17682417041498,0.0,0.0,69.48443035393497,0.0,7.249603581658507,3.782475928296345,0.0,0.0,14.833992892743732,8.944208784518926,0.0,0.0,6.418695768688119,8.145418895663296,0.0,0.0,14.833992892743732,14.893185498571697,0.0,0.0,0.0,1.8912379641481725,2.012167537348186,Human,Bot,Bot,Human,Human,Bot,Bot,Human
4,0.2,0.5,1.3,0.95,1.6,120.58302749094864,145.32899606812884,119.98870212383063,144.07946357141054,94.22636866212062,154.57928551713633,96.50559808277005,89.9616924814168,2.0,4.0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,4.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,-6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,4.0,18.07768456277746,8.649185422550953,4.097791176264522,0.0,8.340981024751192,23.61626192916051,1.4754908476595512,15.365632527784436,19.421699634996415,7.315548420425966,6.413088981786634,-14.640800979204375,22.021776730602724,5.706040849168782,32.34478502304027,25.78685740731243,16.237398341306026,6.204845146285784,7.390524313136591,0.0,22.021776730602724,0.0,13.827266643561767,13.346890948937727,8.207348176990443,3.8059053237708,6.605457960651027,14.640800979204375,6.0543414400484075,61.048615714229086,0.0,2.756993976516384,1.7232052311402022,25.902155813902674,18.972864727970055,0.0,3.2185673683188596,0.0,3.4495755207888354,0.0,21.14490486613662,0.0,0.0,75.95469817324486,7.6264542658031225,5.942246516632622,2.9509816953191024,0.0,0.0,26.939530588912028,14.875073551705531,0.0,0.0,5.261814989368112,8.469178952784372,0.0,0.0,22.096250490131876,19.8291670221938,0.0,0.0,0.0,1.4754908476595512,5.600784121431559,Human,Bot,Bot,Human,Human,Bot,Bot,Human
5,0.2,0.5,1.3,0.95,1.6,112.94358540958737,174.4080501237584,119.47794156378941,160.43739959756772,97.58280988416055,162.26011586806763,91.33400359174449,82.52625159962153,5.0,3.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,3.0,21.145812836245753,6.684736922064478,3.2950713994739242,0.0,6.558170532220707,28.903877022073942,1.1979712408400485,12.38994545666852,20.910152188033194,33.26252452520481,5.15604832968198,-12.492243782887385,24.961198114232275,4.5550007989322605,35.716319126753504,29.571050823807745,12.561737989744962,4.796990727943229,8.791688895350717,0.0,24.961198114232275,0.0,17.52073955466353,18.077586281854707,10.266428573227117,2.9346091183077507,5.31006129656702,22.757905562350388,12.414025960538883,68.83764556283752,0.0,5.148723523739026,1.3307939083839244,20.028846181707664,26.95360221564834,0.0,3.648175109003178,10.047653558613861,2.805738910803572,0.0,28.119368686600865,0.0,0.0,88.24366014556917,5.989001621472685,4.74414293274481,2.395942481680097,0.0,0.0,20.844364867156642,19.758897997149912,0.0,0.0,4.200861257973298,13.761879469464626,0.0,0.0,17.094237063399913,23.74144396957518,0.0,0.0,0.0,1.1979712408400485,7.724599325806395,Human,Bot,Bot,Human,Human,Bot,Bot,Human
6,0.2,0.5,1.3,0.95,1.6,116.75123863958206,148.27375903945224,121.86697765941663,169.86857956494364,108.0024012140691,167.56522382818906,108.37973467708571,86.60612719500455,5.0,0.0,5.0,2.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0,4.0,0.0,-8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,7.0,22.832413078097126,11.445864358493534,2.5808301381622885,0.0,5.2433357933721645,33.812847501004654,3.8895262669036756,10.732021503548616,15.955459638754935,37.00228356256404,4.040950434101492,-22.102922786180898,27.88476556810447,3.6690366206532916,33.268326864273185,22.341459137181722,18.764446762971147,4.14333022709961,9.728720692722312,0.0,26.29904490748686,0.0,16.371941245860402,20.345093823276283,11.496656020912756,2.549420615673336,4.163774498887092,30.61849680186741,13.096198641535263,76.50812968519831,0.0,5.221503300869446,1.0131352914687706,22.960706926490804,32.77517732501427,0.0,2.9166698695023996,18.634196352462638,2.147063860636354,1.34105158849385,28.78511000526859,0.0,0.0,94.18680098214492,12.716672454432256,3.819898085999321,1.842342300343959,0.0,0.0,34.975991682659824,23.253670103662692,0.0,0.0,3.3825645212101443,19.21205678105918,1.34105158849385,0.0,20.411286310817474,26.37650097782801,0.0,0.0,0.0,0.9211711501719795,12.68276875618708,Human,Bot,Bot,Human,Human,Bot,Bot,Human
7,0.2,0.5,1.3,0.95,1.6,113.80390601645496,169.00942724993257,123.1681043216713,182.83448495728888,109.10708787631026,172.595902031316,108.0944782372966,84.06090128317311,6.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,8.0,26.646295312613105,8.333210368074594,2.058095294696958,0.0,4.345120920107064,38.02697738975439,3.345656796677648,10.07702993453118,18.497556355890083,55.07513135084953,3.22278250100134,-19.109379098017566,30.17810755841735,2.945526308964214,39.173281324163426,18.054900948664187,15.062836760842806,3.005730639126158,10.65340743050953,0.0,28.859805793826936,0.0,21.127963404259244,23.486840293106603,9.2287306549436,1.835694438453456,3.3209958044403325,42.170938124936725,17.90039308965263,83.18397173566373,0.0,4.222241109198393,0.813278693666552,16.69675333111616,38.02151167618122,0.0,2.421249311342039,25.84553009482953,1.844970463728122,2.49227430544663,30.694653676070537,0.0,0.0,98.70332931102433,17.589353156752974,3.0660294794079777,1.5710164080602018,0.0,5.691622883679626,25.50400906711573,26.467148470773225,0.0,0.0,2.71504876566463,24.252854744616737,2.49227430544663,0.0,14.861058892662705,28.957895324103475,0.0,0.0,0.0,0.7855082040301009,18.484918862376816,Human,Bot,Bot,Human,Human,Bot,Bot,Human
8,0.2,0.5,1.3,0.95,1.6,114.58647784697185,160.2150133795236,122.72902240912096,186.006349147656,136.32311676538563,178.93846579953666,114.71242450340542,88.58436060005774,6.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,5.0,0.0,0.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,8.0,28.83474287049074,6.990593993901069,1.6270173264524008,0.0,3.437375710809681,41.574995086274605,6.139955409663537,9.204581449379802,19.94654607050404,58.31242847618892,2.5486684655069696,-15.406373906282234,23.858019223642486,2.350749226477666,37.7909342761905,14.036825547295287,11.719487132949219,2.5261445628080974,11.35056589424079,0.0,31.681126195281802,0.0,23.618498336734795,25.055984287106252,7.180398209173273,1.548763903630866,2.627102994601384,51.604364740127195,14.150853633563793,88.8407458879866,0.0,3.2769037785728745,6.180692257125908,25.000844873134696,42.078064275425234,0.0,9.688253698320938,31.851058424768325,1.448971071525852,3.298016165084656,31.276451427561614,0.0,0.0,104.43245366603023,22.768881957539648,2.4472542167290667,1.236208531676084,0.0,4.421982728562219,32.36339216767242,28.93764649739527,0.0,0.0,2.1670831853487473,26.747087759342087,3.298016165084656,0.0,17.959274583881022,30.90797374334631,0.0,0.0,0.0,0.618104265838042,22.321792006992354,Human,Bot,Bot,Human,Human,Bot,Bot,Human
9,0.2,0.5,1.3,0.95,1.6,121.27302094831714,151.37581536995353,133.12354049449462,190.53362269679076,141.05438979725295,184.33234063784266,122.349143615699,91.41800142761133,9.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,1.0,2.0,5.0,0.0,3.0,4.0,0.0,1.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,-11.0,0.0,0.0,0.0,34.99471033516305,5.3516101355375705,1.2756341685756782,0.0,5.23001158118576,44.88538507727993,8.697679866999149,7.416216983575996,15.740452830183461,52.203083003952,1.999472350925257,-12.411326569650184,25.462732573186802,1.8802428691511683,41.77007816073471,11.30930735147028,9.249616307091886,1.930553777408309,11.819348993671545,0.0,39.005478371136746,0.0,30.299958643920696,27.396811601265433,5.6671666502288645,1.1793881061934934,2.06203824813873,58.7595718130157,12.479832468231628,94.32254138201014,0.0,2.641311228972208,4.87308427000016,34.75498694468137,44.97553693699073,0.0,13.398565659149252,37.10756964144095,1.172706281789878,-8.649832736799421,32.12541966637665,0.0,0.0,106.88016222536484,28.948243093347614,1.9574533012679092,0.9992895514856088,0.0,9.073667436872883,40.40957354659245,30.67885577432282,0.0,0.0,1.7333550412498586,24.37257942737083,2.659339589290145,0.0,13.749216984364299,32.225384460426866,0.0,2.2152506474375167,0.0,0.4996447757428044,29.30673175963985,Human,Bot,Bot,Human,Human,Bot,Bot,Human
