round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
1,0.2,0.5,1.3,0.95,1.6,103.375,110.625,120.125,98.625,96.25,85.625,100.125,108.75,6.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.124999999999999,0.0,0.0,6.5,3.25,6.5,0.0,0.0,0.0,9.5,0.0,8.125,3.25,6.5,3.25,0.0,3.25,3.25,19.0,8.125,3.25,0.0,3.25,0.0,0.0,9.750000000000002,0.0,2.375,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.750000000000002,6.5,0.0,0.0,0.0,0.0,0.0,3.25,2.375,0.0,0.0,9.750000000000002,0.0,0.0,0.0,3.25,0.0,7.124999999999999,0.0,3.25,0.0,0.0,0.0,3.25,0.0,3.25,19.0,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
2,0.2,0.5,1.3,0.95,1.6,112.37832612325441,111.57537644201581,129.6551398375835,98.36301276942928,104.62679189435339,90.45561181314513,91.37128140179115,107.97719338190652,4.0,2.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.622425432604736,0.0,0.0,8.296387181238616,5.6436684122647245,7.545532597146328,16.2703125,0.0,3.3596875000000006,18.39316370673953,0.0,15.979780851548272,2.515543412264724,4.762720097146327,2.5644808743169407,0.0,2.6055251973284763,2.6970856102003644,39.292723891924716,15.979780851548272,2.515543412264724,0.0,2.5644808743169407,0.0,6.719375000000001,15.281881830601096,0.0,4.202544114298725,8.159211824529448,0.0,0.0,0.0,3.3596875000000006,0.0,0.0,0.0,4.571875,21.058142645719492,11.63708674863388,0.0,6.719375000000001,7.190625000000001,0.0,0.0,8.771793412264724,3.773818400880389,0.0,0.0,7.81657559198543,0.0,0.0,0.0,8.771793412264724,2.7828125000000004,8.000099897540984,0.0,2.6055251973284763,0.0,0.0,0.0,2.515543412264724,0.0,2.5644808743169407,36.29164389799636,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
3,0.2,0.5,1.3,0.95,1.6,126.31673019418986,120.45751717688682,123.12845173516524,106.49446133859831,104.97313389563837,86.57691630989214,94.32096123321432,113.42783725950076,2.0,2.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.41227830894837,0.0,0.0,16.130421720408208,11.443799838129879,14.934978559972045,21.19525176673133,0.0,6.417557986432174,25.174485158706393,4.2137920447214645,22.186354702385803,5.468834934446924,3.8583276455829356,1.9381647046111192,0.0,2.1446605075323615,2.1367676439082213,47.644062987300174,12.595960957366447,5.468834934446924,0.0,1.9381647046111192,0.0,9.18282037385858,22.98761511844127,8.427584089442929,7.9849191939781825,6.711522562877346,0.0,0.0,0.0,6.417557986432174,0.0,0.0,0.0,3.762868398093303,25.89305743319334,17.699650077919554,0.0,9.18282037385858,5.698712983620062,0.0,0.0,12.318208636963107,5.20760766989218,2.9695666455582126,0.0,17.39086831961439,0.0,0.0,0.0,12.318208636963107,5.197036146534676,8.214848130102126,0.0,2.1446605075323615,3.626199734365514,0.0,0.0,5.468834934446924,0.0,1.9381647046111192,49.049977378544824,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
4,0.2,0.5,1.3,0.95,1.6,139.20235988089877,122.95250814927913,123.14865048214645,109.45823500277498,106.15673797247837,91.23713022745146,104.46298427824479,112.66537790450883,2.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,4.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.533210583899256,0.0,0.0,20.12276395384042,19.250708982862882,17.13616046693647,29.199515893359727,0.0,5.358595609988128,32.022529569523314,7.234316690763025,28.53901038342027,4.309030497161394,2.980109583558657,1.5489158148643505,0.0,1.7921096126899785,5.662444149241792,48.18764826547687,20.688502142712075,4.309030497161394,0.0,1.5489158148643505,0.0,7.669086650691561,30.536640401155793,18.47030806291892,6.534789551113672,5.28741033689502,0.0,0.0,0.0,13.569183072610468,0.0,0.0,0.0,2.9634861251843234,28.38889079522653,20.275177979457034,0.0,15.879674113313902,4.657174629867845,0.0,0.0,18.23296919378324,6.068899107988862,5.438413182497607,0.0,26.836523739857533,0.0,0.0,0.0,18.23296919378324,9.628504293961136,8.804987050642875,0.0,1.7921096126899785,2.9640444411875237,0.0,0.0,4.309030497161394,0.0,1.5489158148643505,61.09127753860558,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
5,0.2,0.5,1.3,0.95,1.6,141.85287333413524,128.42558453141,121.17304874299995,111.20034262298864,130.8282840153947,87.95804652662922,107.88206804873525,110.4953766661333,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.348794062346215,0.0,0.0,23.130801772080748,15.200689728753723,22.70277229221844,37.701815478736115,0.0,4.425303338751188,37.07740705067346,13.687717714613289,33.386983947349925,3.4030575643171774,2.3997758896854107,1.2773390260195414,0.0,1.480774069949455,8.486858654240937,46.61788844869562,27.139130979777207,3.4030575643171774,0.0,1.2773390260195414,0.0,6.334283099068964,36.2062723261873,26.51556989015767,5.201003258976929,4.175214048597774,0.0,0.0,0.0,20.243261441701435,0.0,0.0,0.0,22.509262828414272,31.76994348608099,23.53781625919798,0.0,22.152241202019212,3.693711925323539,0.0,0.0,14.396632818395776,7.056840387275281,7.890620193615407,0.0,40.242306795703186,0.0,0.0,0.0,14.396632818395776,10.724610989073122,9.750517445563156,0.0,1.480774069949455,2.350661479380316,0.0,0.0,3.4030575643171774,0.0,1.2773390260195414,69.2155445264668,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
6,0.2,0.5,1.3,0.95,1.6,139.18523556183712,137.11280922814146,123.41814591526244,113.19022941079145,129.18438108054744,109.56670060694253,114.62739117657172,108.24826931941097,0.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,8.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.216267683460705,0.0,0.0,18.346283805694494,21.813084104449068,20.42153747026523,44.17366249796763,0.0,3.513277970872767,42.02006825118797,18.56770470716288,40.93729275537742,2.976272425877798,1.8623232171096356,1.0214699005529717,0.0,1.1754471184415647,10.99935518036088,45.048733289822884,35.98246800020634,2.976272425877798,0.0,1.0214699005529717,0.0,5.028659817805,41.640532640882036,32.52703567324161,4.124987929191072,3.6546133496717177,0.0,0.0,0.0,25.297958654527662,0.0,0.0,0.0,24.40010729243441,27.43709666816247,25.834818465422888,0.0,31.42355888481929,2.9706537601480925,0.0,0.0,23.237552896700635,15.904506757429566,9.816028307844926,0.0,45.79086021212227,0.0,0.0,0.0,21.11159328145047,11.151107406883051,10.359430276115912,0.0,1.1754471184415647,1.8906044465504348,0.0,0.0,2.976272425877798,0.0,1.0214699005529717,74.97007542798818,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
7,0.2,0.5,1.3,0.95,1.6,146.57867188852472,145.522827563362,130.63654865693906,111.54825524555362,134.40961984802445,111.6676347547934,127.58826406831504,105.50122085640244,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.383776805566851,0.0,0.0,14.543182037490803,25.413113972934358,28.588544120304856,50.67853495222785,0.0,2.729326757799784,47.14308149803412,22.747521786694183,47.165360747256415,2.320927416854391,1.6182616584933336,0.8268276982297698,0.0,0.9127047042655916,17.842780931075666,44.52355626737891,43.238231639134725,2.320927416854391,0.0,0.8268276982297698,0.0,3.9060506139915265,42.72151896143261,37.830196087723564,3.2697195166523216,2.849250065753591,0.0,0.0,0.0,28.734123806543376,0.0,0.0,0.0,25.157320378561227,31.171970949773666,28.374684713146173,0.0,33.49988329881971,2.4120072890598725,0.0,0.0,26.525878471874737,16.58215680294018,11.676188892098896,0.0,53.72495142977294,0.0,0.0,0.0,24.865710229414294,16.914304597847945,11.111777811279847,0.0,0.9127047042655916,1.5352780262680368,0.0,0.0,2.320927416854391,0.0,0.8268276982297698,78.93396301078464,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
8,0.2,0.5,1.3,0.95,1.6,154.4207110273519,153.4565051328333,134.26202259604142,114.65857219557628,139.69154846390902,114.78414937126713,140.60115012286755,102.58754961984525,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.140798652475718,0.0,0.0,11.33495780417425,29.07217206263402,33.52360739050627,58.57195911756162,0.0,2.1979719622082814,51.933319433074246,31.09401098504523,47.630390081880826,1.8572130519465173,1.2823702765685856,0.6840133421096188,0.0,0.735099580023546,23.881535859846593,42.130724655530344,48.19622010658478,1.8572130519465173,0.0,0.6840133421096188,0.0,3.145702054941703,43.99392246425087,43.26445709044619,5.197290908073946,2.2799836778635534,0.0,0.0,0.0,32.65918483186896,0.0,0.0,0.0,26.515431666341634,31.93888869707228,31.800827268626144,0.0,36.49583888929089,1.9499184416242443,0.0,0.0,29.96259386028631,15.77729955437065,13.821282625695044,0.0,62.305749814752595,0.0,0.0,0.0,28.63414096071608,20.64988879944641,12.234154547952446,0.0,0.735099580023546,1.2412708795377905,0.0,0.0,1.8572130519465173,0.0,0.6840133421096188,81.29273676622776,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
9,0.2,0.5,1.3,0.95,1.6,163.31475518039917,161.54574311330538,138.38894988918443,117.53993069622061,145.79796932203809,118.67909590418535,152.93174865877842,99.57944480283024,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.139684979539038,0.0,0.0,9.015505601063948,32.324525499348795,37.84650201951113,66.56676428093624,0.0,1.7699964499200627,56.41096807911819,37.81486750437199,49.05968530349609,1.4849092637439412,1.0200960740918152,0.5634476385632944,0.0,0.5920318669384271,29.21049849960857,39.880675691071666,53.23561412925852,1.4849092637439412,0.0,0.5634476385632944,0.0,2.533265897707242,45.41262748251238,47.493049602159566,6.856294805404957,1.822920108436447,0.0,0.0,0.0,36.327963283729,0.0,0.0,0.0,27.835472018983886,32.85521045592563,35.35755076339956,0.0,39.41654099374771,1.570820697010363,0.0,0.0,33.03647870654193,15.268562413730185,15.964920293155153,0.0,70.23143143385884,0.0,0.0,0.0,31.97429823146136,23.879520539976443,13.424725653481746,0.0,0.5920318669384271,1.0000096396620097,0.0,0.0,1.4849092637439412,0.0,0.5634476385632944,82.51727359392257,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
