round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
1,0.2,0.5,1.3,0.95,1.6,97.0,110.75,101.875,109.0,89.75,120.1875,114.75,93.75,2.0,4.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,2.375,0.0,0.0,3.25,0.0,8.125,0.0,3.25,6.5,4.75,13.0,0.0,6.5,0.0,0.0,0.0,6.5,13.0,2.375,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,9.5,0.0,0.0,16.25,0.0,0.0,3.25,0.0,3.25,0.0,0.0,0.0,3.25,6.5,0.0,9.750000000000002,0.0,9.750000000000002,1.1875,0.0,13.0,0.0,0.0,0.0,6.5,9.750000000000002,8.125,7.124999999999999,3.25,0.0,3.25,0.0,0.0,0.0,8.125,0.0,2.375,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
2,0.2,0.5,1.3,0.95,1.6,108.34507781583665,115.26953744493395,110.12461661408948,125.44383458243115,82.30473715280371,120.85288735253494,116.74448160886286,98.62705623973346,2.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,2.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,2.0,4.134448872545359,0.0,6.621875,13.281759687896663,0.0,14.795331679795417,0.0,5.511662575599194,5.010333756439931,9.171705415142238,23.5066933286045,0.0,13.580804944747259,0.0,0.0,0.0,5.010333756439931,25.101509557231395,4.294492050418129,0.0,0.0,11.718281250000002,0.0,0.0,8.810166878219967,0.0,0.0,12.936105241544091,4.375312500000001,0.0,32.27537496266707,3.046875,0.0,9.874752389307849,3.3109375,2.6542596878966624,0.0,0.0,0.0,2.464787575599194,14.467833756439934,0.0,7.697207496453373,0.0,11.620582417120886,1.0206133801239454,0.0,22.046650302396777,0.0,0.0,0.0,15.936019375793325,10.162144917120886,6.983144179795417,14.151510560554021,5.511662575599194,6.305000000000001,2.676002389307848,0.0,0.0,2.916875,18.70142542979542,0.0,4.02775342063018,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
3,0.2,0.5,1.3,0.95,1.6,120.13865084266232,122.4312475266374,116.25145505957411,140.79561702147677,80.61469074693106,126.28300970124943,111.02877788277289,102.14031584671929,2.0,0.0,0.0,4.0,0.0,8.0,0.0,2.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,5.986821731678995,0.0,5.379384005753709,23.37661033943772,0.0,23.368650531383885,0.0,10.827184234407989,4.134046913869845,12.785209677481912,33.41053633663704,0.0,20.901454598648602,0.0,0.0,0.0,4.134046913869845,34.9911001699505,8.719307629162545,0.0,8.024711872398361,9.182288474192854,0.0,0.0,14.317962335028643,0.0,0.0,16.81847814448698,4.618189213858739,0.0,48.194086916351864,5.646900411750522,0.0,15.362888367317769,9.84779208279267,2.2291058019544807,0.0,0.0,0.0,1.974904494866128,26.03167026002512,0.0,6.251676123973491,0.0,10.07873566165788,2.233708029126327,0.0,30.487219626466604,0.0,0.0,0.0,25.605716141392193,7.647704604549593,5.463968365049826,16.694963192955946,4.416425578825313,8.72972384907903,2.1326617176574816,0.0,0.0,2.187158156750452,32.32099161455091,0.0,5.569780508681397,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
4,0.2,0.5,1.3,0.95,1.6,128.62597146500036,127.78883745612154,123.70369572223888,151.59668176439453,83.79974137346414,132.31832040512967,107.75317192260174,109.1398549721032,2.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,6.0,2.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,7.7834165046103045,0.0,4.319802641890049,23.95856537689976,0.0,33.033703486691735,0.0,18.570483454908512,3.402951780522483,16.113834452491275,41.94134433935466,0.0,25.370706883753122,0.0,0.0,0.0,3.402951780522483,44.101020606818224,12.52350481756055,0.0,15.380297514175817,7.33592100316179,0.0,0.0,23.505012274742963,0.0,0.0,20.63943700795263,3.5797743772757276,0.0,58.4212505519866,4.491207552436623,0.0,20.332442271244933,15.46408444143341,1.850975938184562,0.0,3.621021647750786,0.0,1.5712170748504357,33.15050974483916,0.0,5.0200296109483435,4.575857553197995,10.446042749089766,0.6379411778326403,0.0,37.52793956922174,0.0,0.0,0.0,34.961256421480314,5.942765347198995,4.364860690433855,18.011242868767823,3.5130465947207363,11.095511463534784,1.7180680321641812,0.0,4.575857553197995,1.6964744246602166,42.23787761570742,0.0,6.856065882838586,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
5,0.2,0.5,1.3,0.95,1.6,138.43386029384058,132.7058673514335,129.5768223060271,139.13678149239738,85.61683540659692,137.26915257318592,126.25053610232965,116.99302741915412,2.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,9.347413618424717,0.0,3.4812342204689077,29.286032925947907,0.0,41.463218320620165,0.0,22.087961208378886,2.751100318977609,18.92874922756687,49.87791418200459,0.0,28.38010362288445,0.0,0.0,0.0,2.751100318977609,51.80499788597248,15.96727721059461,0.0,20.419948605691985,5.865498284790406,0.0,0.0,27.362713960300276,0.0,0.0,23.941355353451513,2.8519454159278403,0.0,45.03944176968362,7.173324993034132,0.0,24.531569338866994,20.50157659559636,1.5023368360431846,0.0,5.0453559617522235,0.0,1.2679966743381472,39.341885963239136,0.0,4.045145077757218,3.7090863888942787,12.40810340604516,0.5100513658535848,0.0,44.48688037139652,0.0,0.0,0.0,48.0603268544653,4.73606669959773,3.489825134787685,34.36044001068271,2.8358774027962337,17.33158252025793,1.3709296041192478,0.0,3.7090863888942787,2.7134162189113473,50.972601849889244,0.0,8.127410837082058,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
6,0.2,0.5,1.3,0.95,1.6,145.12953292332003,140.31912345610093,135.2207333471233,156.6346902191757,87.69228716372461,146.57317448346922,115.31022616987596,127.74846802070701,2.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,8.0,6.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,10.888510922817622,0.0,2.791444283252875,31.01281261019365,0.0,48.69975904083805,0.0,25.52260606621781,2.237357871637296,21.41529406217286,56.83827036659703,0.0,33.61380115569372,0.0,0.0,0.0,2.237357871637296,58.61027848594678,18.95779024415834,0.0,24.52026780655338,4.680638938827527,0.0,0.0,31.24710337595686,0.0,0.0,24.564912825993943,2.2604681431091893,0.0,62.726385436800044,9.621420437315649,0.0,28.210715524484435,24.861065521287586,1.121655459464552,0.0,6.256563046320474,0.0,1.0278876121675666,45.48786495380109,0.0,3.2435212805767315,7.309108254458901,12.615666817597312,0.40694600996037145,0.0,51.295667167074825,0.0,0.0,0.0,45.11950334715639,3.7566270984966907,2.784367436570963,35.135492028046826,2.299836259605088,23.09078897711522,1.094423718488953,0.0,7.309108254458901,2.1499368361176017,58.51848642515688,0.0,9.371323809369436,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
7,0.2,0.5,1.3,0.95,1.6,154.0110074487248,148.99394659090714,139.94420549823366,148.1300391043225,90.59448746192619,156.24590279516522,123.81131110561172,137.21664131805662,2.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,9.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,12.157683176308947,0.0,2.2278986395220897,35.89198631477302,0.0,53.61127692380171,0.0,29.15064239431903,1.7898963710435252,23.871108101685117,62.94441669407823,0.0,39.41700542410027,0.0,0.0,0.0,1.7898963710435252,65.33145375198032,21.55427934671286,0.0,26.51873991607916,3.7783161124177944,0.0,0.0,34.43124006690883,0.0,0.0,27.806659641308997,1.7895673132155434,0.0,46.968759020910504,16.162293061978623,0.0,31.7863228027685,28.63240023740976,0.9321253651892628,0.0,7.433335159458196,0.0,0.8387838971004563,50.54062220121837,0.0,2.5887881848024565,11.149603000205552,12.833665983790446,3.8098176788317346,0.0,54.35188574631667,0.0,0.0,0.0,47.573334767696785,2.976561147209599,2.249032738442857,48.162973377245365,1.8778890750170978,27.90615225758727,0.8794040732216664,0.0,11.149603000205552,1.7014027288054134,63.92038129494052,0.0,10.688177963296186,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
8,0.2,0.5,1.3,0.95,1.6,160.25150441757995,159.07957245273658,144.25890942543037,146.94897852269747,94.00117744890846,158.82551368233882,131.03965317433418,150.96408948104184,2.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,10.0,4.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,13.475104552838548,0.0,1.776095622355207,36.99713705742238,0.0,58.61926061828238,0.0,32.60669056668141,1.4457234138384152,26.35619711517931,68.37624279767168,0.0,46.124193126047174,0.0,0.0,0.0,1.4457234138384152,72.13274999943812,23.83192593070293,0.0,27.014443459411098,3.056850622039812,0.0,0.0,37.81389484408,0.0,0.0,28.23788398314487,1.4261783335065994,2.538995920421435,38.10388773209054,22.050921709454006,0.0,35.355959747668166,31.924144749002423,0.7082720479226385,0.0,8.554387097039895,0.0,0.6811978072753333,55.82788776704481,0.0,2.0638932579837217,8.503790935615081,13.169790373499328,4.93848812287198,0.0,57.54444722532391,0.0,0.0,0.0,45.91632487117329,2.3728814169941415,1.8210152333362997,62.626431355004485,1.5257842978259712,32.544087856809746,0.7104152520508921,0.0,18.132243477396045,1.355722496487919,69.50060335145847,0.0,11.943801046838745,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
9,0.2,0.5,1.3,0.95,1.6,171.46572799735858,165.67290847095194,149.5785552669464,147.48679623214204,114.65826306423881,169.6888537356463,127.90204501033512,151.67114806416333,2.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,8.0,4.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,14.576966320103523,0.0,1.4129225028042833,38.45486816426686,0.0,66.9563491016357,0.0,36.642849108548205,1.1555685328611787,28.901138210522873,73.1551014390002,0.0,49.03932748856766,0.0,0.0,0.0,1.1555685328611787,79.0978519445889,25.813515943476105,0.0,27.67440567498378,2.4154403710364387,0.0,0.0,40.641955245829536,0.0,0.0,29.03983478970985,1.1386869634599464,4.587036984941146,30.705037693488777,27.95247175471277,0.0,38.97337332497785,34.776427850889284,0.552453298471903,0.0,9.338981914486821,17.035154912663444,0.560098962749506,60.24915200274541,0.0,1.6419924258130214,11.421484638857759,15.096067077293565,5.787587171297794,0.0,62.070797619638704,0.0,0.0,0.0,45.429044300209675,3.422377177256142,1.437672157279495,62.93560772295513,1.2555708526346754,36.42974885722065,0.5755526473166114,0.0,18.938687083964282,1.0823535331109428,67.8100991993234,0.0,13.412933943227435,Bot,Bot,Bot,Bot,Human,Human,Bot,Bot
