round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
1,0.2,0.5,1.3,0.95,1.6,120.125,103.5,100.25,114.125,86.5,88.0,116.25,103.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,8.0,0.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,4.875000000000001,0.0,0.0,0.0,16.25,0.0,2.375,0.0,4.875000000000001,9.750000000000002,0.0,0.0,6.5,0.0,6.5,2.375,4.875000000000001,0.0,6.5,0.0,0.0,0.0,16.25,9.750000000000002,0.0,8.125,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,3.25,0.0,0.0,0.0,0.0,0.0,3.25,0.0,4.75,0.0,0.0,0.0,0.0,13.0,3.25,8.125,0.0,11.875,0.0,0.0,0.0,0.0,1.625,0.0,9.750000000000002,9.750000000000002,2.375,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
2,0.2,0.5,1.3,0.95,1.6,105.9906425071343,121.97228550240314,111.92510795283872,137.85674057524784,90.13705354460801,97.40709334635028,99.92515404400723,107.15185237683991,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,24.934634696981078,0.0,0.0,4.089200961249626,0.0,0.0,0.0,12.966806848903577,0.0,4.353273693301292,13.032500000000002,22.634513461249625,12.76527560829078,0.0,0.0,5.186722739561431,0.0,8.550472739561432,4.2464076111444875,15.216388461249627,0.0,4.7993391408831485,15.1125,0.0,0.0,19.69430684890358,17.43262071943527,0.0,15.791688006908982,17.160000000000004,3.778125,0.0,0.0,13.455000000000002,0.0,2.726133974166417,0.0,2.3996695704415743,7.55625,0.0,0.0,0.0,0.0,2.726133974166417,2.8112500000000002,7.687209372183839,0.0,20.182500000000005,0.0,0.0,10.210994292580358,2.726133974166417,10.169188006908982,0.0,12.81883777035146,0.0,19.520312500000003,0.0,0.0,1.3630669870832084,0.0,7.199008711324723,8.25806548513067,6.8113986933012916,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
3,0.2,0.5,1.3,0.95,1.6,102.30119690496716,127.30570150367063,123.79416452510736,142.2365528307318,108.05003181080525,92.38453016712597,93.43209029075587,129.43284646020294,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,6.0,2.0,6.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,23.329600913575355,0.0,0.0,3.5321679441058005,0.0,0.0,0.0,24.23942804728598,0.0,6.5956359695044435,18.040598855834382,23.97926603093704,23.366325752076044,0.0,0.0,4.123874895318717,0.0,15.192990494767903,6.165057191110737,26.553252561073883,0.0,3.937997862849858,20.74486641530497,0.0,0.0,28.62516581048353,25.309182152980924,0.0,16.99172738047357,14.112369006359977,5.9981084804338005,0.0,0.0,19.361093507896395,0.0,20.276154904186086,0.0,1.968998931424929,15.243784467297836,0.0,0.0,0.0,0.0,2.354778629403867,3.707124189659696,8.628814483684556,0.0,26.49381286437784,0.0,0.0,15.704977348140181,2.354778629403867,12.50693324135394,0.0,11.665401071857863,0.0,35.04888192985028,0.0,0.0,1.1773893147019334,0.0,28.06711053056948,5.979043160212491,7.960421524868747,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
4,0.2,0.5,1.3,0.95,1.6,101.72432375006058,130.25982858009763,134.34854767455275,154.07963059111026,119.71820461131546,90.11201725175763,92.49296711330027,145.86835432662727,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,12.0,0.0,0.0,6.0,2.0,6.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,20.335878261772883,0.0,0.0,2.7933611798506557,0.0,0.0,0.0,37.63508430843703,0.0,8.275050486336877,22.846634537491283,25.907973219202653,28.73116711333897,0.0,0.0,3.53900322372784,0.0,20.37202370655755,7.997077400486878,37.19512380677401,0.0,3.0023101478742795,24.82201261286002,0.0,0.0,35.20396576443511,32.83010722305141,0.0,26.79571878219909,10.712177908914228,7.577660912510405,0.0,0.0,23.69028360865532,0.0,29.92031583608899,0.0,4.5036523043687335,20.64395286220241,0.0,0.0,0.0,0.0,1.8622407865671038,3.169937806360325,8.756046630050756,0.0,35.36379202877945,0.0,0.0,20.926841759910587,1.8622407865671038,17.693649383501622,0.0,11.050235183320943,0.0,50.18022644612985,0.0,0.0,0.9311203932835519,0.0,39.36342499349006,4.526228129325689,9.907354364398113,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
5,0.2,0.5,1.3,0.95,1.6,106.36950784974317,141.97087079563573,135.29978419021018,161.50694155810325,134.46405694481825,100.01448000245435,93.10259646328745,144.2064247884467,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,6.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,6.0,2.0,6.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,18.254095752936653,0.0,0.0,2.2689553411671253,0.0,2.9286405606821235,0.0,50.14981619495727,0.0,9.615159437937864,27.28812038422094,36.04774088179375,33.31685759394729,0.0,0.0,2.93499249773589,0.0,24.52285649314461,9.685411865128046,37.68701451815501,0.0,2.321963060921396,28.314538252861105,0.0,0.0,36.21037863706884,39.76116449894672,0.0,35.61392546488733,8.258096988055462,8.89537596914491,0.0,0.0,31.369871064770308,0.0,41.79510001900279,0.0,3.4733682990368067,25.05771756200835,0.0,0.0,0.0,0.0,1.512636894111417,2.6049110576501597,19.596290652226337,0.0,43.53264139846642,0.0,0.0,25.726765614374678,1.512636894111417,22.304853711345487,0.0,10.790340243455875,0.0,62.19789139916026,0.0,0.0,0.7563184470557085,0.0,33.28549721021733,3.52221167103472,11.67650606097865,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
6,0.2,0.5,1.3,0.95,1.6,105.18561193228136,140.28725128981412,141.43610476595381,172.4836734646511,138.33120800601984,95.89222231715108,107.95584763794729,166.0180327956542,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,4.0,1.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,17.102520523738633,0.0,0.0,1.8135252110439646,0.0,2.4098517794816856,0.0,57.645314418017065,0.0,11.210759946617545,30.166957575215292,34.06319552414888,36.35884497988277,0.0,0.0,2.2730932639496313,0.0,29.219838799412035,10.799633705020089,45.871625928498524,2.1850409253532965,1.902861781039584,25.24270362663027,0.0,0.0,43.36395877528025,44.33533836797721,0.0,44.80815615657947,6.783166862204034,6.978653302610114,0.0,0.0,34.803481913959985,0.0,51.78029530236712,0.0,2.8521458305486345,22.680884959144098,0.0,0.0,0.0,0.0,1.2090168073626428,2.163017664868641,18.48734039074029,0.0,47.81844745417949,0.0,0.0,28.946826915420978,3.833504607681821,27.223619470609748,0.0,21.737496644234724,0.0,73.86156112850377,0.0,0.0,0.6045084036813214,0.0,50.09149354534754,2.7674330559167615,12.478636662204803,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
7,0.2,0.5,1.3,0.95,1.6,113.15232692180537,144.11177666704293,155.72212937296817,178.6967486780863,154.81039467920016,105.5119015542672,108.60233171503855,161.03572618246804,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,6.0,2.0,6.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,15.811400756211816,0.0,0.0,1.4648580908357447,0.0,4.95847440283387,0.0,69.94607367192393,0.0,12.033226003908894,33.27537414100567,35.90075782620332,40.01903273737179,0.0,0.0,1.9118659585532525,0.0,31.79959055298651,11.980405667136552,53.83673915243297,3.9783881106136905,1.4641663796795328,31.691319510118923,0.0,0.0,42.77595581523805,49.182718001929004,0.0,51.20776360967812,5.199785500726366,9.359005750514765,0.0,0.0,40.69009219553432,0.0,61.404272549454646,0.0,2.1874556504106066,29.557054283800582,0.0,0.0,0.0,0.0,0.9765720605571631,1.7109657523701918,25.53649225340635,0.0,56.316351487933474,0.0,0.0,32.30158319489966,3.0943147278159278,28.29516042611898,3.1164972253074104,20.82325614089654,0.0,81.35786810008173,0.0,0.0,0.48828603027858153,0.0,41.48962494659815,2.311775078721074,14.416652026788505,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
8,0.2,0.5,1.3,0.95,1.6,112.13730989518363,146.04512296243726,164.89985808226936,190.51317752070008,167.65154222241733,101.32702939285424,116.12483721329289,183.37848619847864,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,6.0,2.0,6.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,15.474773459166743,0.0,0.0,1.1626987578640884,0.0,4.059965874005119,0.0,74.66265580414768,0.0,12.943407364504878,37.38210719238875,34.32333900713739,43.15464313640955,0.0,0.0,1.4644102619966928,0.0,34.52766525281487,13.512721966525865,60.187851143206615,3.2860038767104913,1.1944947460762076,35.41390509693528,0.0,0.0,43.212122700397686,55.47327965205356,0.0,59.93932665613404,4.250185948227768,10.86104656388703,0.0,0.0,46.244429959413104,0.0,69.10541012703686,0.0,1.7875269000543832,33.73695923591296,0.0,0.0,0.0,0.0,0.7751325052427256,1.4183423560320705,23.405778032149595,0.0,58.95056049942984,0.0,0.0,36.582265677015975,5.361268177557654,35.9698840511461,2.552151868053902,18.882051439519252,0.0,91.57252491966345,0.0,0.0,0.3875662526213628,0.0,57.93207695277387,1.814277176547221,14.894824896872723,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
9,0.2,0.5,1.3,0.95,1.6,121.4195727085908,148.70152772081525,175.21511467651777,200.8878821034683,181.1091904939091,112.06963058705142,126.9108333563533,176.2104295406116,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,6.0,2.0,6.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,14.69630958664718,0.0,0.0,0.936215326017321,0.0,6.394566438285508,0.0,85.97070855764078,0.0,13.627838700321822,40.697284640296594,33.81241532277626,45.920257438701896,0.0,0.0,1.221958818718651,0.0,36.5941165992663,14.752942848715527,67.00699632289647,2.6660412901886774,0.9191743185831582,39.85407049686763,0.0,0.0,43.41120279944467,60.564712747358485,0.0,67.7076353689379,3.2580623118789074,12.52449607584833,0.0,0.0,50.53503025700333,0.0,77.27693731298257,0.0,1.3709550092320049,38.5044951146912,0.0,0.0,0.0,0.0,0.624143550678214,1.1525442238290122,29.92810259541765,0.0,66.94306741712654,0.0,0.0,40.055665689514726,7.410219185307483,42.80869980184974,5.2421451666193315,17.97233071306201,0.0,96.63424428630778,0.0,0.0,0.312071775339107,0.0,47.62853979830878,1.4606713004137832,16.753129580242124,Bot,Bot,Bot,Human,Human,Bot,Bot,Bot
