round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
1,0.2,0.5,1.3,0.95,1.6,116.875,111.5,97.0,111.625,108.75,99.25,94.1875,85.625,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,8.0,2.0,19.0,0.0,0.0,0.0,0.0,6.5,8.125,3.25,0.0,7.124999999999999,6.5,9.750000000000002,0.0,0.0,8.125,0.0,0.0,0.0,2.375,6.5,0.0,0.0,8.125,0.0,0.0,9.750000000000002,13.0,2.375,0.0,0.0,0.0,6.5,0.0,0.0,3.25,0.0,19.0,6.5,0.0,0.0,0.0,3.25,0.0,6.5,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1875,13.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,2.375,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
2,0.2,0.5,1.3,0.95,1.6,124.47149813878156,107.67220902477837,94.28866728707284,114.75510839347959,120.47824256933396,97.35606906399184,101.1720204520914,87.94486246874291,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,38.42154135409563,0.0,0.0,0.0,0.0,5.102871864817764,6.219008107903313,10.728076811964842,0.0,13.87653003523528,8.198631696597712,15.378039185042056,0.0,0.0,6.219008107903313,0.0,0.0,3.6237500000000007,4.147528889141472,16.29838029002804,0.0,0.0,6.219008107903313,0.0,0.0,15.365185837690387,19.549763393195427,4.62963053866409,0.0,6.451250000000001,0.0,4.759278623929682,0.0,0.0,2.523065848298856,0.0,36.278867356217326,11.554121864817764,6.122187500000001,0.0,0.0,2.7058952792301287,0.0,5.414942790028037,0.0,16.886793494733652,0.0,8.348437500000001,0.0,7.247500000000001,9.457500000000001,0.0,0.0,0.0,5.382838204232022,15.084182247859365,0.0,2.7058952792301287,0.0,7.255625000000001,0.0,0.0,12.244375000000002,1.7389671895127685,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
3,0.2,0.5,1.3,0.95,1.6,117.78854174903205,113.55834575100548,98.86111655610684,119.62468853040295,126.58201152778389,89.58697882899213,122.59948683557374,87.26002702350232,10.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,4.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,46.08148235410628,0.0,0.0,0.0,0.0,3.990070879203751,5.081172102490168,11.435816413231843,0.0,18.42924579443744,12.511694629051265,19.760051895640657,0.0,0.0,11.65735343187611,0.0,0.0,6.310088794817162,5.467884194074056,24.225790135339498,0.0,0.0,11.65735343187611,0.0,0.0,22.408225927718323,24.412048631266188,6.4286999891432535,0.0,11.370285640805164,0.0,3.805428341470026,0.0,0.0,1.964945097699001,0.0,53.049707704094494,15.360356520008915,5.007002205981465,0.0,0.0,2.096233848259567,0.0,11.790512212073367,0.0,17.825338556396492,0.0,6.674894212262685,4.0453236895104006,9.120830796329027,13.487886553640314,0.0,0.0,6.32814448915947,9.20726696774782,29.21003433918671,8.090647379020801,2.096233848259567,0.0,5.803824600318696,0.0,0.0,16.590185741348872,3.4791354545543847,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
4,0.2,0.5,1.3,0.95,1.6,112.34219719421787,114.24569052044592,104.93497633940865,124.89015397827752,125.4053927790003,90.36923622685927,140.8429861933697,90.30052304584004,8.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,4.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,46.46732023074214,0.0,0.0,0.0,0.0,3.0256105685757415,4.40919949918069,17.480066895719304,0.0,22.989992102807715,16.510106210070628,23.659226141270274,0.0,0.0,10.126366066297297,0.0,0.0,12.482336547126629,4.406963850021135,31.13615625207909,0.0,5.823153623884489,10.126366066297297,0.0,0.0,29.188216201378637,29.313988155103587,8.008555888258751,0.0,14.429149936028825,0.0,2.9902437975077123,0.0,0.0,1.5832829592174542,0.0,66.86996186166527,11.631606880720078,4.360541077397466,0.0,0.0,1.6949727542196582,3.212986288073472,17.253181315087552,0.0,22.012761973622723,0.0,5.2353338958558515,10.757168992407493,7.372817065248464,17.297601466009304,0.0,0.0,4.786794097935934,22.567589190287997,37.10101538148053,13.858082771127904,1.6949727542196582,0.0,4.66497164225219,0.0,0.0,26.39169868837998,2.7307971898602923,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
5,0.2,0.5,1.3,0.95,1.6,116.78163309199113,119.10966643299153,116.81518435653018,130.094127866271,123.21434387451939,85.0598036622965,149.03924644762935,97.78974313507507,6.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,6.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,43.79439144568981,0.0,0.0,0.0,0.0,6.802086100959126,10.605637662658115,22.81151788268408,0.0,26.306034059534714,20.219516269341792,31.221652993797946,0.0,0.0,8.594463110317077,0.0,0.0,17.289481127661624,3.576100671419601,37.23963237740056,0.0,10.481411492804543,15.460558687243852,0.0,0.0,34.20214740215266,34.01974438232886,9.412651938239886,0.0,17.295808385759997,0.0,2.395775757789588,0.0,0.0,1.2841525187846894,0.0,76.24401230714538,9.21098272785519,3.7071963207341017,0.0,0.0,1.3390357036794673,6.018252509414214,17.947037263235767,0.0,22.792288985447154,0.0,4.195189200519902,15.5882957209942,5.8265180933445535,20.859634511147718,0.0,0.0,3.7898400899113334,25.803598030798963,44.403360001432574,21.63089419971184,1.3390357036794673,0.0,3.7549748792320075,0.0,0.0,36.10872496827924,2.188113384172515,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
6,0.2,0.5,1.3,0.95,1.6,126.73820252146139,120.99909645541729,125.2082542879186,134.77831828123595,120.09560367012917,82.60234642721589,155.04112939057032,108.29372029344275,6.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,0.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,7.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,43.376355333424456,0.0,3.7964934915872313,0.0,0.0,9.34401239182385,15.834730773554336,28.1722105310715,0.0,29.57465770713624,20.55759094346618,37.70279645095997,0.0,0.0,6.949651353854875,0.0,0.0,21.602144498925163,2.9638582756914804,42.52504653701706,0.0,12.141916286113275,19.76088869017162,0.0,0.0,39.03124038249366,39.58826831434956,10.632301975482587,0.0,17.358850361139027,0.0,1.9532572477711145,0.0,0.0,1.063039767492437,0.0,82.76500314850406,7.0545557782557315,2.9986049758769155,0.0,0.0,1.0734610143851986,8.78593678747982,18.609472836964926,0.0,24.492100146954982,0.0,3.426975641430967,20.068712803291838,4.670666807840814,21.09031393418398,0.0,0.0,2.8999352139392225,27.932673506240743,52.164427125073715,28.700997639536396,1.0734610143851986,3.7964934915872313,3.0089452033649184,0.0,0.0,43.71337081332068,1.7860521312483078,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
7,0.2,0.5,1.3,0.95,1.6,133.4653249801845,122.62499049528158,134.8080080630155,138.86392189461176,116.76438493416522,80.00905964906785,174.73751131781273,109.06088887521896,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,0.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,41.48177617986905,0.0,7.155642117952436,0.0,0.0,7.245403969232695,22.75825263372176,33.852730079408545,0.0,32.02711653145201,20.789836637515617,43.27059923456037,0.0,0.0,5.565918091753557,0.0,0.0,24.961225899432115,2.4107163496552015,47.12427087045722,0.0,13.437564099475956,25.902710843995017,0.0,0.0,42.68711975120952,44.40424925887927,11.69765223024755,0.0,17.493418079181456,0.0,1.6099625750939563,0.0,0.0,0.8641773562262776,0.0,87.0410642847942,5.48599152002789,2.4016317731168346,0.0,0.0,0.8494464983607204,11.214482296093,19.251774602300767,0.0,24.888707782462532,0.0,2.8331284698508217,28.769515728196083,3.6970622138432847,21.223953617664268,0.0,0.0,2.2537538922411855,37.098223566846734,60.7234822990212,35.828946967787836,0.8494464983607204,7.155642117952436,2.4045503403161064,0.0,5.369152517769034,35.00682178491965,1.4748086481131633,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
8,0.2,0.5,1.3,0.95,1.6,143.59514058501435,124.8841383523766,133.51354553708686,138.8232705786478,113.47438223221236,78.06834654120826,189.20527377372082,128.29779848300757,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,6.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,39.77100654767953,0.0,10.214397549735672,0.0,0.0,5.619534998611548,30.361443590546052,40.85154189844154,0.0,34.06408374430602,21.338337965811192,48.03416175605705,0.0,0.0,4.670338886202329,0.0,0.0,27.709765989375853,1.9666670264911343,51.10633209054811,0.0,14.31047266877513,21.64309176189662,0.0,0.0,45.71259269051386,44.97542326087531,12.623266613142315,0.0,17.464615198704085,0.0,1.270156815412241,0.0,0.0,0.7045547422461717,0.0,89.70730717538062,4.2675117380291345,2.017792576556433,0.0,0.0,0.6716799418434768,13.526147697658896,19.860268384050524,0.0,25.000967492236114,0.0,2.232067025419239,36.20110439864225,2.9242969936125043,26.074522753175977,0.0,0.0,1.752080297497498,43.45056186196004,62.02549146883251,41.891051998933236,0.6716799418434768,10.214397549735672,1.9168442741812317,0.0,9.35317406257348,46.310878196147314,1.1625564595931435,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
9,0.2,0.5,1.3,0.95,1.6,153.62499690482943,129.6965683645213,143.59678191685154,141.60055499196787,120.76290866911177,79.2739744160175,190.55917498833088,136.11406383542544,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,39.20000163564653,0.0,7.977156481488535,0.0,0.0,4.374460009908886,37.11594715622422,51.53565882156124,0.0,35.88239843932567,25.331004365093605,51.23296220920361,0.0,0.0,3.828430550898415,0.0,0.0,30.06790566328771,1.533990874122823,53.64426390966294,0.0,14.926004723137147,30.002843946640937,0.0,0.0,48.38789225432538,48.12144848177567,13.20385327730881,0.0,17.387263528533687,0.0,1.0783246500243222,0.0,0.0,4.889188021025482,0.0,91.12291168936252,9.673938024334467,1.6550981343892912,0.0,0.0,0.532070608697034,19.238138772245016,20.09762306372755,0.0,24.078474904727138,0.0,1.9058942666207483,43.47733533387461,2.317109937139111,20.351513582061433,0.0,0.0,1.3667624965110547,40.02324513398506,69.6014357047596,48.11077470248802,0.532070608697034,7.977156481488535,1.504166421100816,0.0,7.257828926367992,56.31987496126003,0.9904189340229952,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
