round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
1,0.2,0.5,1.3,0.95,1.6,60.875,85.625,108.75,134.75,91.25,105.5,114.5,94.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,4.0,2.375,0.0,0.0,0.0,6.5,0.0,-28.0,0.0,3.25,2.375,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,19.0,0.0,0.0,0.0,0.0,6.5,3.25,22.75,0.0,19.0,6.5,0.0,0.0,3.25,3.25,0.0,0.0,0.0,4.75,0.0,0.0,3.25,3.25,0.0,0.0,0.0,0.0,19.0,0.0,3.25,3.25,0.0,0.0,0.0,0.0,0.0,28.0,3.25,3.25,0.0,0.0,0.0,6.5,0.0,0.0,4.75,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
2,0.2,0.5,1.3,0.95,1.6,53.01212358623941,99.13088360037702,107.01517897816527,116.70627042098651,101.99367263587811,106.19711101947848,107.1826117263588,95.78211239396796,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,1.5314011938422873,0.0,0.0,4.3793750000000005,4.9851712221175,0.0,-24.95507382972039,3.0712500000000005,2.0956016336789194,18.036531966698085,0.0,13.138125000000002,0.0,0.0,1.860625,0.0,2.0956016336789194,0.0,33.98882981856739,0.0,0.0,0.0,1.860625,5.070122525918944,2.0956016336789194,16.933490417844805,0.0,24.2963208843858,4.9851712221175,0.0,1.860625,2.535061262959472,2.0956016336789194,0.0,0.0,4.3793750000000005,20.980509739239714,0.0,1.860625,8.677561262959474,2.0956016336789194,0.0,0.0,0.0,0.0,35.70582312284009,1.860625,2.535061262959472,2.0956016336789194,0.0,0.0,0.0,0.0,0.0,38.55194882972039,2.535061262959472,2.0956016336789194,0.0,3.5343750000000003,4.3793750000000005,4.9851712221175,0.0,1.860625,14.926964538171536,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
3,0.2,0.5,1.3,0.95,1.6,48.58346077312636,102.81804922263393,97.38352607821648,135.5298301709102,112.89001327786991,107.04259699692764,98.86687645966893,96.86496559459287,4.0,0.0,0.0,4.0,0.0,0.0,-6.0,2.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,3.687612763944548,0.0,0.0,3.285760883595616,4.23645700174584,0.0,-19.426768036543727,5.600398160384074,1.6004189070290824,18.00519628958037,0.0,28.822051594197156,0.0,0.0,3.190382431827317,0.0,1.6004189070290824,0.0,37.28759904699118,0.0,0.0,0.0,3.190382431827317,4.105125692368894,5.0462069401346445,37.16802723547352,0.0,26.410356409936504,4.23645700174584,0.0,3.190382431827317,8.278400151792365,1.6004189070290824,0.0,0.0,3.285760883595616,37.247173235661336,0.0,3.190382431827317,16.366277819756558,1.6004189070290824,0.0,0.0,0.0,0.0,48.99923281188678,3.190382431827317,2.052562846184447,1.6004189070290824,0.0,0.0,0.0,0.0,0.0,44.0138947064554,2.052562846184447,3.3233129235818635,0.0,16.732352479715928,3.285760883595616,4.23645700174584,0.0,1.4486649912739864,16.63841731467963,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
4,0.2,0.5,1.3,0.95,1.6,57.84720128924233,108.32059371563408,99.35472164284852,146.25417898899866,108.99475826810317,98.01447074820655,124.59711318723829,58.28604444897662,0.0,0.0,0.0,4.0,1.0,0.0,-7.0,4.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,2.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,2.0,0.0,8.0,2.0,2.0,0.0,0.0,2.0,9.62044205839816,0.0,0.0,7.208177936925466,7.211463816040389,0.0,-14.769876403315145,7.616993881193446,1.2362248435651757,17.00205802968063,0.0,46.68660982117621,0.0,0.0,2.435701021212055,0.0,1.2362248435651757,0.0,35.18555012191521,0.0,3.668925431530772,0.0,2.435701021212055,15.868320224625302,7.0151721241570115,53.42916634573448,0.0,29.117526900407107,3.5425383845096166,0.0,2.435701021212055,9.754074212978399,2.025706081128479,0.0,0.0,2.8034584563708846,44.56206623891999,0.0,2.435701021212055,16.207826470471744,1.2362248435651757,0.0,0.0,0.0,0.0,51.7446075347652,2.435701021212055,1.6379373486641136,-5.565459664672516,0.0,15.824822987710178,0.0,0.0,10.436653207200447,61.30315930833606,1.6379373486641136,5.7046609589877,0.0,12.68513302299927,2.8034584563708846,7.211463816040389,0.0,-26.65601206284485,15.577340257423222,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
5,0.2,0.5,1.3,0.95,1.6,46.89753546660008,119.88406827259041,97.66091574979077,153.53339495746303,99.18947611792595,87.68625125456492,124.27398497863365,68.88217046512642,2.0,0.0,0.0,4.0,2.0,0.0,-4.0,4.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0,0.0,-5.0,0.0,2.0,0.0,0.0,2.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.391113523826586,0.0,3.2290284533925773,5.988154868960799,9.20296241044906,0.0,-23.55592118970633,4.8741973996773815,1.0498293338111053,16.544637000894802,0.0,67.33736974058587,0.0,0.0,2.1842321972986127,0.0,1.0498293338111053,0.0,37.83318027682896,0.0,6.423845054902118,3.185470299316713,6.233638375883857,10.16695240904802,9.857811589402825,68.48970930768063,0.0,31.203950244093782,2.7791173555469424,0.0,2.1842321972986127,6.250574263440233,3.6208701293285124,0.0,0.0,2.32897033247965,47.910398440564016,0.0,2.1842321972986127,10.377005018255142,1.0498293338111053,0.0,0.0,0.0,0.0,46.582039352411336,6.233638375883857,1.0527441924586163,-9.53123572356732,0.0,12.774373764218286,0.0,0.0,20.731049611355786,66.47905313416828,1.0527441924586163,8.715868010741405,0.0,19.92187482539552,2.32897033247965,9.20296241044906,0.0,-25.09850701975436,21.043001905815153,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
6,0.2,0.5,1.3,0.95,1.6,48.43519216725467,130.95375527869646,69.32115576661398,161.5392614005061,92.1227393834779,72.49509466290314,133.21959303205466,83.72132429637894,2.0,0.0,0.0,1.0,3.0,-2.0,-5.0,3.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.22125789520036,0.0,5.741007975807339,4.926125363087528,10.26806969609994,0.0,-19.109499152034946,4.173830389094437,0.7828234153993333,16.877125856740406,0.0,85.33019522747104,0.0,0.0,1.7492107790856917,0.0,0.7828234153993333,0.0,39.35810769426847,0.0,8.144144359180823,5.2691425466516755,-19.149981369270197,8.702519120383869,7.914032225366645,85.19089946948151,0.0,32.99684252938824,2.123925336919116,0.0,1.7492107790856917,5.349951060264897,4.9306606906011545,0.0,0.0,1.9159229713934256,48.42812899659965,0.0,1.7492107790856917,8.884415945797972,0.7828234153993333,0.0,0.0,0.0,0.0,39.60574449748127,4.99194730392605,0.9001794460964789,-11.548386352571555,0.0,10.15485735620898,0.0,0.0,30.008672386580734,77.48987019574002,0.9001794460964789,8.612326287399675,0.0,25.361924640594836,1.9159229713934256,10.26806969609994,0.0,-19.96385234987406,31.31253305076511,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
7,0.2,0.5,1.3,0.95,1.6,42.06399815084569,102.58336345544258,64.59938599593563,187.92645081138778,79.27825703079492,67.8477338827612,151.2998687036076,83.67864526172971,4.0,0.0,4.0,0.0,2.0,-2.0,-2.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.46714878991816,0.0,3.9410304486020795,4.0674477967537905,7.958549266755021,0.0,-15.993981742632585,3.652283591449212,0.6344447771359749,14.253880345288875,0.0,101.90713814309828,5.987978059926064,0.0,-41.17159787000663,0.0,3.782732268007529,0.0,40.26169425244086,0.0,6.313605044942577,3.8724255218949737,-18.21388229830532,7.6112912069550065,6.449068189852056,105.80938823420043,0.0,34.93811250703709,13.620900341664573,0.0,1.458671900250872,4.678789638382772,5.592258900877955,0.0,0.0,1.5819632427207337,41.90122373184764,0.0,1.458671900250872,7.772619255097709,0.6344447771359749,0.0,0.0,0.0,0.0,41.29823585226823,4.157220088864171,0.7863131644928212,-11.362775274519846,0.0,6.9646742321545325,0.0,0.0,24.43546323150874,109.50467334997134,0.7863131644928212,8.594183634629086,0.0,17.456740233554047,1.5819632427207337,7.958549266755021,0.0,-16.605800688280297,43.72148957235111,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
8,0.2,0.5,1.3,0.95,1.6,31.436908986974252,116.03613883891742,60.6804140195485,160.92654402063894,78.54591745997789,66.71044398523689,144.9715119110995,82.93660006266985,0.0,3.0,0.0,0.0,3.0,-7.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.17063373398192,0.0,3.0831962747895925,3.5776254129880947,5.990638312591339,0.0,-14.105461638230231,2.943060890853528,2.538567713474912,29.554133844674187,0.0,113.73069652893838,4.4895695744628545,0.0,-51.054044822632896,0.0,2.858512345076025,0.0,43.73373064531766,0.0,4.754355056012873,3.0307064847497713,-16.607155720895552,6.133049209287713,4.876986845082148,75.44060433445851,0.0,48.58111486060786,10.215422405504176,0.0,1.2651301366448526,3.770069438341414,6.274132450252734,0.0,0.0,1.3914717176923643,46.574783663282105,0.0,1.2651301366448526,6.2631834921058305,0.48794780362118434,0.0,0.0,0.0,0.0,45.21498063669985,3.5967631891470795,0.633536355768768,-8.552000243404956,0.0,5.447902830130889,0.0,0.0,19.124178385867364,111.54067858273743,0.633536355768768,8.540116909832028,0.0,13.662769167739345,1.3914717176923643,5.990638312591339,0.0,-14.588168899898529,51.1625568547133,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
9,0.2,0.5,1.3,0.95,1.6,26.518594685841926,140.3318802953702,60.75304975324706,139.44562734738295,73.5550684633618,72.17798696543689,125.14645712812916,83.76359957736094,7.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.111312282685432,0.0,2.4528585277262724,2.6923853202798247,4.876735788309152,0.0,-11.435909490079787,2.3994394569210273,1.8288585421578407,47.93685218368549,0.0,112.07205685529935,3.6590026338272574,0.0,-38.58666271959976,0.0,3.0917079409461117,0.0,46.3010592943712,0.0,3.869871926910054,2.4582368027552572,-13.389300219304662,4.999701207569106,3.53661786760504,65.74182576483477,0.0,44.33157388648992,8.324869129053612,0.0,1.0156246744700859,3.073343224929521,6.0515823581546355,0.0,0.0,6.277273751466744,41.68273521630674,0.0,1.0156246744700859,5.106079662963584,0.8758548838117571,0.0,0.0,0.0,5.105484634898563,49.371414542521336,2.8871264326090813,0.5163336715961447,-6.145682788334643,0.0,4.333958904100374,0.0,10.210969269797125,15.511783597031215,87.29732167393894,0.5163336715961447,7.6890971450758485,0.0,10.870677877543582,1.0471610707959782,4.876735788309152,0.0,-11.694811022542842,57.552965918179204,Human,Bot,Bot,Bot,Bot,Bot,Human,Bot
