round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Human,Bot,Human,Bot,Human,Human,Human
1,0.2,0.5,1.3,0.95,1.6,101.0,99.375,99.375,89.75,105.75,115.75,126.125,97.75,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,2.0,4.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.75,6.5,0.0,6.5,3.25,0.0,0.0,0.0,1.625,4.75,6.5,0.0,6.5,0.0,0.0,0.0,1.625,6.5,4.75,0.0,0.0,0.0,0.0,6.5,3.25,6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,6.5,9.5,0.0,0.0,6.5,3.25,0.0,3.25,6.5,0.0,0.0,16.25,6.5,3.25,0.0,9.750000000000002,0.0,0.0,26.0,7.124999999999999,0.0,3.25,0.0,0.0,6.5,3.25,0.0,0.0,4.75,Human,Human,Bot,Human,Bot,Human,Human,Human
2,0.2,0.5,1.3,0.95,1.6,112.56753544224438,104.63012285474998,108.93010845560715,83.0658471515197,118.6729592285522,121.29339978851627,134.1376798547687,90.81710384226682,5.0,4.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,4.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,9.735713149423567,9.92035098349304,0.0,16.50352335678994,6.054197952537805,0.0,0.0,6.353750000000001,7.844076209013327,9.60964350716799,14.76488223349304,0.0,5.234645905075611,0.0,0.0,3.1768750000000003,1.2790762090133256,11.53519473349304,8.42956538216799,0.0,0.0,0.0,12.297187500000001,11.389084630932777,4.199402418026652,5.075819733493039,0.0,0.0,3.436875,0.0,0.0,6.353750000000001,9.123152418026653,6.4593750000000005,0.0,10.669773356789939,20.208448822802815,0.0,0.0,8.212209630932776,4.199402418026652,0.0,2.5379098667465194,10.669773356789939,0.0,0.0,34.85097951602036,5.035334630932776,4.199402418026652,0.0,7.613729600239559,0.0,0.0,52.030139991016625,6.294407845485851,0.0,2.5581524180266513,0.0,9.689062500000002,4.83602335678994,6.054197952537805,0.0,0.0,3.679667614912413,Human,Human,Bot,Human,Bot,Human,Human,Human
3,0.2,0.5,1.3,0.95,1.6,123.07278500068529,109.94941346487869,108.20946234549021,75.7280924808708,131.5300705916208,141.58716010645423,125.07729063183376,92.99998644264272,4.0,3.0,0.0,3.0,2.0,-1.0,-1.0,2.0,4.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,15.636474263793232,14.759248732473216,0.0,21.902536405556777,8.874667436784524,0.0,0.0,10.699858162077529,11.964758923286588,11.436549914753648,22.707513499096923,0.0,4.3391061718290835,0.0,0.0,8.301484955912436,1.055720217390474,19.455230943621217,12.074418237879982,0.0,0.0,0.0,9.915403877030275,14.508689069568252,8.954450625862037,4.071781091808581,0.0,0.0,6.705114350869982,0.0,0.0,4.796746412330186,11.191256689740591,10.282731362643577,0.0,18.856095709855076,30.84122684085206,0.0,0.0,9.15875998852949,3.466783273052623,0.0,2.076818673393571,9.40735559636971,0.0,8.642154734931784,62.98521692121581,3.808830907490725,1.2154325642077355,0.0,6.230456020180713,0.0,0.0,61.352374503262595,5.079027544182714,0.0,5.769885336653891,0.0,18.55387615230978,3.66127486824362,8.874667436784524,0.0,0.0,4.940282648650905,Human,Human,Bot,Human,Bot,Human,Human,Human
4,0.2,0.5,1.3,0.95,1.6,121.98054747272668,116.5199682650411,110.90373715412154,71.22018403720845,148.1365454599529,139.00342543126175,139.71839777143776,96.39127142732428,1.0,2.0,0.0,3.0,6.0,1.0,1.0,2.0,3.0,4.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,2.0,3.0,6.0,0.0,2.0,0.0,0.0,3.0,14.30225994635265,17.234684128942856,0.0,26.344363122284584,11.616615628935321,0.0,0.0,11.522624646211272,13.826060987522565,14.423988181583631,28.315065984714124,0.0,7.86673487485978,0.0,0.0,11.12811823636099,0.8670095322376089,26.373030602644896,14.586226683556001,0.0,0.0,0.0,7.5226246241626775,20.594845711520353,13.35238804214534,3.2756717773573834,0.0,0.0,9.820611838619271,0.0,0.0,3.8115123790864534,21.191124112273144,13.633386033832227,0.0,24.043228412876104,38.009022851635564,0.0,0.0,10.299784049335882,4.847490232028344,0.0,1.6250835236376742,7.102601425630455,0.0,17.42893217625663,64.01209612717133,3.0272219465373023,2.9992718535279446,0.0,4.875250570913022,0.0,0.0,75.16782149831094,15.71605384868583,0.0,8.73723944206064,0.0,25.064898937438777,2.7740452977269907,11.616615628935321,0.0,0.0,7.238472121162553,Human,Human,Bot,Human,Bot,Human,Human,Human
5,0.2,0.5,1.3,0.95,1.6,122.71019505832689,122.51208785781526,119.68225342901346,73.50799122091459,159.4109545820672,154.5144714392551,140.42388127552942,92.20412748646852,0.0,1.0,0.0,1.0,12.0,0.0,1.0,1.0,2.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,2.0,0.0,6.0,0.0,2.0,4.0,0.0,2.0,11.167326510073256,17.710183702535275,0.0,29.40233667681752,19.323927090730812,0.0,0.0,12.338421078170018,12.77904970769292,18.571049637774326,33.3093274220488,0.0,16.194266795967316,0.0,0.0,8.890394294331868,0.676872390055506,32.66669444524471,16.856694353500593,4.629311962418551,0.0,0.0,6.2327277390154165,25.85195253877869,12.411764147470098,2.6458786041145888,0.0,0.0,22.637062793438517,0.0,0.0,3.0452856758913884,40.33853946981279,16.6947019046355,0.0,23.006253385129607,35.241789431364445,0.0,0.0,11.361670391124875,3.785585808880125,0.0,1.291255724610321,5.451370991305339,0.0,26.75276942385951,75.78128753197345,8.684201958626343,4.3243597056632535,0.0,3.8737671738309625,0.0,0.0,76.45430422260046,23.00345017343475,0.0,8.807152493986433,0.0,30.726815972828163,2.1347674359423348,9.69505163583387,0.0,0.0,8.07233994787771,Human,Human,Bot,Human,Bot,Human,Human,Human
6,0.2,0.5,1.3,0.95,1.6,121.71344955897149,126.63703201767862,131.491403178748,75.17514717591317,172.64066472598307,156.08894243401508,152.45661796576795,91.95588767635883,0.0,1.0,0.0,3.0,11.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,6.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,8.771393799646756,14.222133756598073,0.0,25.79282488532045,31.25191987746257,0.0,0.0,15.460777239943635,12.032494024237378,19.277870630578622,38.76628358177679,0.0,23.525353546558584,0.0,0.0,6.820630234527248,0.5315922138320556,40.16860477332481,19.397719977538472,8.461218133733682,0.0,0.0,4.895171706327417,31.822696373991533,15.73364428356589,2.124655283470338,0.0,0.0,28.760815032494214,0.0,0.0,2.3416325763827044,53.62578349715159,21.370007567980814,0.0,30.258418397986528,32.449263144968555,0.0,0.0,8.722792117895542,2.973772693283927,3.9816428553789964,1.0500890036969233,4.341894644235878,0.0,33.107815225905426,77.75336121767457,6.665966793839336,3.3970729172894467,0.0,3.150267011090769,0.0,0.0,88.30040884189913,31.3944691954886,0.0,8.913669735384318,0.0,36.66610557438294,1.7007835579544335,7.886029290763601,0.0,0.0,10.574899517873527,Human,Human,Bot,Human,Bot,Human,Human,Human
7,0.2,0.5,1.3,0.95,1.6,127.57645409017779,132.5932211235436,141.6493226005003,75.40534571547116,173.06971844180876,182.33464879323725,148.63329544798984,97.22378728266496,0.0,1.0,1.0,2.0,7.0,1.0,1.0,3.0,0.0,2.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,6.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,6.843754161766502,11.321565099241658,0.0,26.549612445384426,42.315054439131515,0.0,0.0,19.57494794465368,11.366947704705778,19.857915798873982,44.65109245555857,0.0,30.403675544721164,0.0,0.0,5.342069619684092,2.39254744930422,46.381997811360456,22.17295597702667,10.3652794356149,0.0,0.0,3.9923415872277674,35.372680339966294,16.233641914201513,1.6914543728767186,0.0,0.0,34.672535460296544,0.0,0.0,1.83619396809637,55.69031931210963,25.243345794121943,0.0,33.74811883739021,30.581984214021183,0.0,0.0,6.834430284165781,4.298498382402508,7.285481469659511,0.8618171814961818,3.4453363841413402,0.0,37.172092095378986,103.07752725013786,5.222376030020856,4.628902114966014,0.0,2.5854515444885457,0.0,0.0,94.8261289695704,25.62129281896488,0.0,12.890204275145116,0.0,42.927458092566205,1.350309682742303,6.437636819533708,0.0,0.0,12.64665841267761,Human,Human,Bot,Human,Bot,Human,Human,Human
8,0.2,0.5,1.3,0.95,1.6,129.00353491402882,136.6660851002443,144.5538364393709,77.15986607171368,176.063662754438,182.79747585062475,172.307328245951,105.38399723604952,0.0,1.0,1.0,3.0,6.0,1.0,1.0,3.0,0.0,3.0,6.0,0.0,5.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,6.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,5.473040923708567,9.048929604243273,0.0,25.708545399154886,49.956415729054356,0.0,0.0,22.039387257867723,11.163407395088191,19.393477986690936,50.02379318827047,0.0,35.018940656072964,0.0,0.0,4.289249874121692,3.9864490951903657,49.999519900891016,24.711036972901223,8.112334085464587,0.0,0.0,3.0822243499556774,37.88505603496804,19.201595115051617,1.3519375753067326,0.0,0.0,38.355104883652636,0.0,0.0,1.4740124977026943,56.97490879714579,32.59418229530661,0.0,36.2390578625745,27.99115725543089,0.0,0.0,5.487140543980226,5.510668830681157,10.132356620695603,0.698861650842564,2.708635328198411,0.0,48.753048593653375,94.0237439746924,4.19294485186122,5.7748985820295005,0.0,2.0965849525276923,0.0,0.0,103.93278513159366,37.40629740642691,6.319546173373222,16.527783164941,0.0,48.62606988658534,5.964155290232412,5.023803853292938,0.0,0.0,12.464969040997824,Human,Human,Bot,Human,Bot,Human,Human,Human
9,0.2,0.5,1.3,0.95,1.6,135.30102671557435,138.82786652445523,148.3935221560492,85.73461774566493,175.39480070882183,229.05408896424535,143.39225484019096,114.35870168420527,0.0,0.0,1.0,3.0,5.0,-1.0,1.0,5.0,1.0,3.0,6.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,6.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,4.315584531130019,9.420052685160622,0.0,26.663585300324193,56.65363017127463,0.0,0.0,24.826401227684862,8.801427508028931,20.29835562457685,53.687226528522956,0.0,39.12425659079093,0.0,0.0,3.494827472535553,5.238216126203905,53.10519690236907,26.424794784043492,6.432891289166378,0.0,0.0,2.5979972783530045,41.17265297591332,21.426721677531553,1.075670490802092,0.0,0.0,41.760712863269795,0.0,0.0,8.049739914061492,55.399621380293354,37.03642021489709,0.0,38.7729701982641,26.294597857951146,0.0,0.0,4.4694182574161365,4.343957998454011,8.061529036600774,0.5531417124084346,2.1518213243766193,0.0,72.96605977929596,124.14026053401929,3.4155457790902553,6.648663297672384,0.0,1.6594251372253037,0.0,0.0,81.48438491716139,31.596026527740065,8.581982160391812,23.51033264756573,2.2208238828789697,52.58094310370609,8.491836070920872,3.967071519931051,0.0,0.0,10.165921659202555,Human,Human,Bot,Human,Bot,Human,Human,Human
