round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Human,Human,Bot,Human,Bot,Human,Human
1,0.2,0.5,1.3,0.95,1.6,80.0,80.0,101.125,125.25,107.1875,133.375,99.0625,114.125,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,6.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,3.25,4.875000000000001,6.5,0.0,0.0,6.5,9.750000000000002,3.25,9.5,4.875000000000001,0.0,0.0,11.375,6.5,9.750000000000002,4.875000000000001,0.0,1.1875,0.0,4.875000000000001,0.0,6.5,6.5,4.875000000000001,0.0,4.875000000000001,9.5,9.750000000000002,11.375,0.0,0.0,6.5,3.25,4.875000000000001,0.0,1.1875,3.25,0.0,0.0,6.5,6.5,4.875000000000001,6.5,9.750000000000002,0.0,Human,Human,Human,Bot,Human,Bot,Human,Human
2,0.2,0.5,1.3,0.95,1.6,77.33515625000001,77.60531250000001,104.34656642891684,147.73934588184426,115.53641686272505,141.7697315201421,99.99212346330533,120.01554672388784,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,5.0,0.0,1.0,2.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,4.929843750000001,4.070625000000001,0.0,4.3346875,0.0,0.0,5.2,0.0,0.0,4.070625000000001,0.0,4.3346875,0.0,0.0,9.780657640232107,0.0,0.0,2.8504835589941977,12.649313195116054,10.23681515957447,4.829296875000001,0.0,9.780657640232107,13.370986460348163,7.481681274177951,20.230932710906117,7.423922570116055,0.0,4.829296875000001,20.62186835106383,9.780657640232107,13.370986460348163,10.400881286266927,4.070625000000001,0.9598236869513465,4.3346875,8.6187552889265,0.0,4.580657640232108,12.380657640232108,12.044162536266926,0.0,3.9403288201160542,11.79384282937807,12.408213702853,20.62186835106383,0.0,0.0,5.1036750483559,2.8504835589941977,12.649313195116054,4.3346875,0.9230732033923522,10.130890957446809,0.0,0.0,6.7469562983559,9.771592117988396,10.907516320116056,14.571502659574469,14.017979327852998,0.0,Human,Human,Human,Bot,Human,Bot,Human,Human
3,0.2,0.5,1.3,0.95,1.6,86.38807289338781,71.53679730160613,101.9567353172475,153.67519519921618,125.76259524254715,151.11391913018707,106.89403751768171,128.42296736302376,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,3.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,0.0,0.0,4.0,2.0,4.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,6.0,5.0,0.0,14.693679687500003,5.044345312500002,3.904961808490059,3.452834853363441,0.0,8.092251231534298,0.0,0.0,3.99018247554845,0.0,0.0,8.25436359452338,0.0,8.092251231534298,0.0,0.0,7.525343058022497,0.0,0.0,7.231481791185354,17.751130285294728,12.839831347738425,5.408948835006485,0.0,7.525343058022497,16.611866707723895,12.709196155950481,24.21346049313964,9.765723752793905,0.0,5.408948835006485,26.24065619657926,7.525343058022497,12.828607723348894,16.717335561374146,8.25436359452338,6.265146759361869,8.092251231534298,14.879547314382037,0.0,3.535160582474047,15.840958584892629,16.3233577930676,0.0,6.945408429819068,12.852339146727248,16.22578576236403,28.19090883084244,0.0,0.0,4.043415059161653,7.231481791185354,17.751130285294728,8.092251231534298,0.7237320337301717,17.852027116775506,0.0,0.0,10.431964108734704,17.91579843573415,8.831105527730179,20.932082579272723,19.112016711552002,0.0,Human,Human,Human,Bot,Human,Bot,Human,Human
4,0.2,0.5,1.3,0.95,1.6,62.67599124437568,75.55907412416028,121.66605079918914,153.68356078211625,128.2571530396042,160.3831106504616,115.20815955064755,143.97092827193336,0.0,0.0,8.0,0.0,0.0,5.0,0.0,3.0,-8.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,-4.0,0.0,3.0,4.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,5.0,2.0,2.0,2.0,5.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,5.0,6.0,0.0,12.149281608717358,-7.651391206937581,3.020962814895649,2.7529978600461353,0.0,11.444140167654115,0.0,0.0,3.29467404463877,11.445887568256982,-8.156538825379801,16.570911168990207,0.0,11.444140167654115,0.0,0.0,17.431356984333792,0.0,8.156538825379801,10.760370081460575,24.70430794868413,15.28111105200372,4.372365907327104,0.0,6.200907508193376,17.199951387665674,14.801715095479153,22.9549881096212,12.057066260322946,0.0,7.84642212665176,31.662510294182127,6.200907508193376,9.704187292071722,19.559353252677585,11.576467325015681,8.09904329398308,11.444140167654115,20.71305420000863,0.0,9.925264386142366,16.60719779679029,17.598216795131634,0.0,9.755359583435842,13.970906030412042,18.326144938342956,33.24002112020645,0.0,0.0,4.786902907793478,5.765926237486049,24.70430794868413,11.444140167654115,0.5848168613464367,26.962065427683328,4.211418553552657,0.0,9.727871853576382,29.268181866941816,7.207733436870914,26.725251219657835,25.87047134133376,0.0,Human,Human,Human,Bot,Human,Bot,Human,Human
5,0.2,0.5,1.3,0.95,1.6,48.805146090237585,83.42587666578572,121.38111827242355,160.26021340131342,135.78280078920602,167.2525892842728,129.39558636980178,154.03765976969083,0.0,0.0,8.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,-4.0,4.0,0.0,4.0,0.0,0.0,0.0,-3.0,2.0,3.0,5.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,5.0,2.0,2.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,6.0,0.0,0.0,1.0,6.0,0.0,3.0,6.0,0.0,8.207221222374756,-6.17495936937504,2.5888904239756054,2.1594286574787964,0.0,9.256565155783463,0.0,0.0,2.24256533168101,14.001940559512718,-8.266782575542292,22.9986860020708,0.0,19.681467348063467,0.0,0.0,20.046380029646528,-1.1780838979652568,11.156351282023035,8.44504036057241,30.00367693739477,12.364350155031573,5.435875821301577,2.339527584418917,4.26803560369511,18.777417195515774,18.630437735392793,25.305974210415343,13.725542046021925,0.0,6.395529298259395,40.38927731201307,4.26803560369511,7.8195586637252505,26.666048611227268,14.082398145301342,9.466258219289797,14.469016251923465,26.243485294043783,0.0,12.905420395954845,18.300802488623567,21.026092432106335,0.0,11.901254816863903,15.115659182998995,20.55194562385896,34.683414343866204,0.0,0.0,4.10313116064541,4.523468229221729,30.00367693739477,19.681467348063467,1.8444444461467508,36.471398248329656,4.8983943020106775,0.0,8.33975313054286,37.955228686230626,5.7125155861145345,32.04581750309504,32.3179505616971,0.0,Human,Human,Human,Bot,Human,Bot,Human,Human
6,0.2,0.5,1.3,0.95,1.6,52.85687467736563,70.96489075623442,131.95145600470119,168.4513177327173,134.76180112231307,165.58383557801278,139.8278288401297,172.18197766469672,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,6.0,0.0,4.0,0.0,0.0,0.0,-3.0,4.0,1.0,5.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,2.0,0.0,2.0,6.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,3.0,6.0,0.0,15.133163705073128,-5.09700973945228,2.0274064633259754,1.729513123864292,0.0,12.849401124554507,0.0,0.0,1.6105982022345398,12.045668306486798,-13.504750323987702,28.836016684858123,0.0,15.762957886642662,0.0,0.0,14.26210519833868,-1.47106130009806,21.534417838923076,6.763517715703175,37.45243506419495,20.774523091085953,4.523034715610442,1.8980836809429702,3.0912206922569823,23.585551812578757,16.56127769053289,27.879989414694478,15.490006670742794,0.0,5.3229165532516625,50.30595489865974,3.0912206922569823,6.4195791562868685,30.744495537642006,11.278276801263281,7.639374981630522,17.024034081468017,32.350419871765396,0.0,9.174704802686731,20.485884976516726,18.437565943880944,0.0,14.017545448062624,16.079012865769627,25.509711813068073,35.66500972802804,0.0,0.0,5.185471562008526,3.622867823226846,37.45243506419495,21.19866703838153,1.5338371529627008,44.62015019935513,3.4768021934174103,0.0,8.502692905175179,51.23155455001714,4.61096620524484,36.53748097772861,41.608080833113505,0.0,Human,Human,Human,Bot,Human,Bot,Human,Human
7,0.2,0.5,1.3,0.95,1.6,37.06081151689692,62.99660356069256,142.72141234238512,167.25111893720194,151.25261746507795,175.0218478609064,150.33101308202535,192.28856669909297,0.0,0.0,4.0,0.0,8.0,4.0,0.0,0.0,-4.0,0.0,-3.0,5.0,0.0,4.0,0.0,0.0,0.0,-3.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,2.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,3.0,5.0,0.0,12.349834750435278,-9.364254622271083,1.6618864617610247,1.3939050740919294,0.0,10.047919852879765,0.0,0.0,1.3081896250224432,13.847660478320329,-19.454323263852675,23.233973584310206,0.0,23.089583136892244,0.0,0.0,15.036094227199207,-0.49544658229054717,32.30245319655535,10.924594462106132,42.46324617644598,16.240257069105326,3.699631936089343,1.5790618571743313,2.5077033354992935,22.98325432163027,13.57622782957542,26.467842881113036,12.127396921840301,0.0,4.354516976300085,64.26265667124352,9.379097043556825,4.727984372887277,35.92222100523181,14.561863132339747,9.181536867547278,18.694560824184904,37.81383421933012,0.0,10.898981860476848,19.562079331765364,23.69089132259181,0.0,15.35482113554053,16.497844648052617,29.946952340309593,38.098757222169624,0.0,0.0,4.250623670028003,2.9196820415175067,42.46324617644598,27.341201795490043,1.2542170755553745,51.13052232298844,2.8289227416999174,0.0,6.970301707808739,68.65355948105086,3.6082112634507357,39.32984020599757,49.92621129908514,0.0,Human,Human,Human,Bot,Human,Bot,Human,Human
8,0.2,0.5,1.3,0.95,1.6,29.664881136253776,43.121069553821336,145.95932074247204,183.41732049245948,161.58884245383786,180.33676296037976,164.44094198386924,200.21212158855445,2.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,0.0,5.0,-3.0,4.0,0.0,4.0,0.0,0.0,0.0,-3.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,6.0,0.0,-6.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,4.0,5.0,0.0,9.289759683191598,-6.946619527884913,1.3562762958091221,1.088318037682671,0.0,8.099930647455286,0.0,0.0,0.927436318261559,13.813750806887997,-22.674725661145352,18.157118484837476,-13.870066613617713,29.99034021859736,0.0,0.0,10.4278667788269,-0.14895087171197405,39.93566378562464,13.972557181233185,47.57840001154372,13.093097585173375,3.011760747528893,1.3117095242532912,1.7963062132026661,21.251369913553525,15.718599154463238,36.56458998535604,10.078062741681874,0.0,5.988150260952636,75.24302622324949,9.407582426488787,3.562461879009813,40.90749822248517,11.380411862889439,21.50115289400938,15.070464687115226,42.98205448184005,0.0,9.93317605657251,18.69651807643432,23.969356275674123,0.0,12.760772841716921,17.45869908520733,36.58034850056332,44.16067612421121,1.806714561448725,0.0,3.46898628425464,2.280054031459048,47.57840001154372,33.41741883773409,1.0207762270174032,58.0913760304116,3.1806835268902773,0.0,5.688870917210372,69.95706798779587,3.0010887905129966,48.771647859250194,52.835546506894744,0.0,Human,Human,Human,Bot,Human,Bot,Human,Human
9,0.2,0.5,1.3,0.95,1.6,28.74023512888007,33.16904337764028,143.4646594608878,191.4094715226463,168.0581247809269,187.85170713387828,175.6533462615397,214.81642471082552,0.0,0.0,0.0,3.0,5.0,4.0,4.0,0.0,0.0,4.0,-4.0,0.0,-4.0,4.0,0.0,0.0,2.0,0.0,4.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,-6.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,5.0,5.0,0.0,6.8172009609557165,-4.713681596670915,5.825962982648024,0.9004639117295815,0.0,6.488516070217656,0.0,0.0,0.6984633353847522,14.757343388190177,-18.682436502045867,20.965003870011248,-27.87621009683756,29.88510658293752,0.0,0.0,7.757809626287858,0.0,39.39042832913561,11.549582309098227,51.961709100696794,10.488518229617792,7.837941233092138,1.0568978329593428,2.8065951597980927,14.549470812414791,19.659058145134487,47.65759260240688,8.226541341886014,0.0,4.953224434724314,80.1352162262817,9.265948713650687,-0.9402772361069802,44.50422345092929,9.403556842094785,34.10578247471209,12.072349594223585,46.224768141423446,0.0,9.22547426658231,15.590427631804106,23.871570144821213,0.0,10.416670063942986,22.55179890278089,40.92838339457663,51.84560992937013,3.213811673465215,0.0,2.7681886537320484,1.885974749442076,51.961709100696794,38.49130234342804,0.8447705479734282,63.06581639280209,2.3332780973947282,0.0,4.5395844039210145,75.70232218473149,2.450829617499007,56.65212922136692,59.71650838591236,0.0,Human,Human,Human,Bot,Human,Bot,Human,Human
