round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Human,Human,Human,Bot,Human,Bot,Human
1,0.2,0.5,1.3,0.95,1.6,101.125,88.125,96.25,97.4375,105.125,96.25,128.25,126.6875,0.0,5.0,1.0,1.0,5.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,4.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,3.25,13.0,4.875000000000001,0.0,0.0,0.0,0.0,8.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,3.25,0.0,6.5,0.0,0.0,0.0,4.875000000000001,1.625,3.25,0.0,1.1875,0.0,6.5,0.0,4.875000000000001,8.125,3.25,0.0,0.0,2.375,6.5,0.0,4.875000000000001,1.625,3.25,0.0,6.5,0.0,0.0,0.0,4.875000000000001,0.0,4.875000000000001,13.0,0.0,0.0,6.5,19.0,4.875000000000001,4.875000000000001,4.875000000000001,0.0,6.5,22.75,6.5,0.0,1.1875,Human,Human,Human,Human,Bot,Human,Bot,Human
2,0.2,0.5,1.3,0.95,1.6,104.20297170557791,92.04809109230713,97.70916373436106,93.67318092325739,115.340186503947,106.59299185936106,132.37220132372659,139.09870750484066,1.0,3.0,5.0,3.0,2.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,5.0,0.0,4.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,2.0,0.0,1.200859375,9.552202720062557,19.355301422400956,10.094608188114389,0.0,0.0,0.0,0.0,11.31270046730712,5.232421875,0.0,3.1667187500000002,0.0,0.0,8.33625,0.0,9.492977593461426,2.392046470062556,0.0,5.014894250819186,0.0,0.0,12.504375000000003,4.304870420017874,6.206415093461425,2.392046470062556,4.692187500000001,0.9161826035150432,0.0,4.985463211200478,0.0,10.480886045017876,9.66941921730712,5.256108970062556,0.0,0.0,4.3986996853589515,11.241713211200478,0.0,20.774245420017873,1.2765713434614243,2.392046470062556,0.0,11.348331750819186,13.66625,3.4289062499999994,0.0,10.480886045017876,0.0,6.452132205093835,16.227176422400955,0.0,0.0,11.241713211200478,26.028965315013405,8.422214170017874,7.1162765303842725,6.452132205093835,4.692187500000001,14.515050500819187,28.468662775543642,12.805775711200479,0.0,1.0486222817992257,Human,Human,Human,Human,Bot,Human,Bot,Human
3,0.2,0.5,1.3,0.95,1.6,104.37450340616027,93.12624608067192,113.54738840776571,92.56258086184657,124.75392033098902,112.41874173870147,134.3004362386076,143.96840477471733,0.0,4.0,6.0,4.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,4.0,2.0,6.0,-2.0,0.0,2.0,0.0,0.0,6.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,8.0,0.0,-3.0,0.0,0.0,8.0,0.0,2.0,3.0,0.0,4.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,0.0,0.0,0.9518317814881622,12.110328499019156,24.761143397177037,15.351199728475912,0.0,0.0,0.0,0.0,15.740792074911916,9.64077788142177,-0.41691115906680837,2.426681062563427,0.0,-0.6822257926385837,15.217132013480185,0.0,17.684338776853494,1.909248042836714,0.41691115906680837,11.46013482112719,0.0,0.0,22.82569802022028,8.051057587661216,11.692728899717768,4.900811003336695,6.867382020224909,0.703217197607096,0.0,4.093203064927069,0.0,13.105238676033025,9.35839055591277,4.194742449009701,0.0,0.0,6.33773570791344,23.092761807019073,0.0,30.57028981113401,1.0120157937985368,1.909248042836714,0.0,10.224740186242313,22.425388234132086,3.500694817844148,0.0,22.14665466384767,0.0,11.132492391428022,22.299920597938254,0.0,0.0,12.69994510073137,30.068274495841507,6.899803652668433,7.334358968315695,8.14092943092804,3.6918341988581744,18.740178008817473,38.28344854693351,15.717698668539754,0.0,0.8599569523246666,Human,Human,Human,Human,Bot,Human,Bot,Human
4,0.2,0.5,1.3,0.95,1.6,117.08152887106372,97.67797539061999,118.58364633508027,85.28308942374075,126.38729238918839,105.6100318743317,134.68523925477405,154.11856574397996,0.0,0.0,6.0,0.0,-5.0,0.0,-5.0,0.0,4.0,4.0,-2.0,0.0,0.0,-2.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,8.0,0.0,-3.0,0.0,0.0,7.0,0.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,4.0,7.0,3.0,0.0,0.0,6.193752459505518,15.597724984144943,31.98212184148171,17.983165408176795,0.0,0.0,4.364764177754747,0.0,12.34494041471988,19.47013743051872,-0.46809048448542145,9.41312260252921,0.0,-0.728655727571184,12.00754799973046,4.678973155178314,24.043966656749806,-2.2186068908206016,0.46809048448542145,13.445378029976766,0.0,0.0,35.470378710614675,6.414439344074214,9.16912927240863,3.8636336230722956,7.649455802385695,0.5489395054020484,0.0,3.2923278082178515,0.0,19.799603412254218,1.8931021692831491,3.307358964604661,0.0,0.0,8.127779270214496,31.36404329610241,0.0,40.73500868898367,0.7939527855778125,-2.2186068908206016,0.0,7.975193460203357,30.438260673552556,2.9961990635638127,0.0,24.66503278225475,0.0,14.828167777383513,29.9027671060815,0.0,0.0,10.216302750721425,33.2812084117593,5.496793208828288,5.752490125503992,6.417771111473818,8.654467287978886,20.626758691494302,47.417309177975774,23.60479952858769,0.0,0.6849698209654878,Human,Human,Human,Human,Bot,Human,Bot,Human
5,0.2,0.5,1.3,0.95,1.6,105.40691285143373,100.99369705818415,118.32773028132021,70.86539323968366,156.7846975874671,94.37926399875164,157.25757547817582,148.26495120238866,0.0,0.0,7.0,0.0,-4.0,0.0,2.0,3.0,0.0,5.0,-3.0,0.0,0.0,-3.0,3.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,7.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,8.0,5.0,0.0,0.0,5.407659224286857,12.638144599794675,37.43069627787935,13.703574241160148,0.0,0.0,3.4588385083127022,0.0,10.341839264285943,31.18708123829891,-0.30104426350172364,14.093690880771705,0.0,-0.4444695948359968,9.51692352701274,3.8316760061525836,33.4764233052093,-7.660397788295982,0.30104426350172364,18.56005817572275,0.0,0.0,28.11073932376992,12.771863001412479,7.683371728087562,3.129262959774458,8.115219757037298,0.41982544674370054,0.0,2.528423577068611,0.0,16.221289770972017,1.3652578238479594,2.678471049100165,0.0,0.0,30.48637212938323,36.08378262969777,0.0,53.40281395543796,0.6646168840495954,-5.548197150809347,0.0,6.090142063282089,24.240601363158717,3.43684370474581,0.0,32.72725713432477,3.8051496883095712,16.775748553247592,39.60245824545916,0.0,0.0,7.838620653500725,51.959281474615054,4.508316863043718,10.526014911127758,8.372642293428703,8.926696232490556,22.65189395380923,37.76188056997883,26.695436158745444,0.0,0.5623870828081317,Human,Human,Human,Human,Bot,Human,Bot,Human
6,0.2,0.5,1.3,0.95,1.6,104.16857919642496,93.02040183015723,148.8044719788147,55.829554736599164,156.68025908751616,108.61343946013619,151.80798494781854,152.74593520302682,0.0,-3.0,6.0,0.0,0.0,0.0,3.0,4.0,0.0,8.0,3.0,0.0,0.0,-3.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,4.0,1.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,5.4741986046563404,10.210984205174249,37.39699485577385,14.668948746934198,0.0,0.0,2.9751364127698565,7.227916371116447,5.863085703941817,39.083225670222234,-0.14626344676775152,11.444378352313606,0.0,-5.418331326519459,8.175872653113698,7.80403422385306,35.531630983090906,-1.267335585524675,2.9565470409491064,18.18073469126128,0.0,0.0,54.82958184899426,12.35891300004381,5.795790492652156,2.527500551633109,6.43971910359393,0.3103878464222392,0.0,1.9093344914408066,0.0,12.632422250856912,1.5789264743201887,2.1632417037468006,3.845651234142907,0.0,42.021167519144456,27.2003698202982,0.0,53.65650233586358,0.5019986419471655,-8.773091130587707,0.0,12.550805853376254,31.78141897403833,8.792082830672848,0.0,37.54582429068929,8.012442047669275,16.836067596964412,39.121333955111524,0.0,0.0,5.911210032919556,52.20600988666743,3.5065214284863426,14.79880196547516,6.763625832272202,14.775808302363785,16.595418362287532,43.836388982220726,29.3245961244318,0.0,0.43689563397562986,Human,Human,Human,Human,Bot,Human,Bot,Human
7,0.2,0.5,1.3,0.95,1.6,118.33933422884681,81.06118696537101,152.6796428418093,45.22721931766094,159.8374834892902,107.51014858094808,163.62286808637657,163.20513848045064,0.0,0.0,3.0,0.0,-8.0,0.0,2.0,3.0,0.0,5.0,3.0,0.0,0.0,-3.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,-5.0,0.0,0.0,4.0,1.0,0.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,4.0,0.0,6.0,4.0,0.0,0.0,4.6005140859056475,7.769637030472871,45.52159661249158,21.4557657449043,0.0,0.0,7.245784655324448,10.774516099747956,4.31972315167683,38.35536586367184,2.067905280500994,10.050770875153532,0.0,-7.33414666983234,6.356689197353284,6.273359266846857,33.06900624846794,3.5773462052700875,2.8597130311578725,14.883332358381864,0.0,0.0,57.455230266934564,19.863494731596965,4.5664938248953835,1.9262928067526262,5.76633848394167,0.22719289020605885,0.0,1.6138325435765095,0.0,10.155548768288678,1.257707153642298,1.6492887210432703,3.4341150890569114,0.0,44.410789975890815,30.089438736103407,0.0,58.02462381355349,0.39566356311173084,-9.770652792138018,0.0,8.988929272614149,35.3271653552212,11.487555230718112,0.0,40.1099679514209,9.696716948545246,15.835148542568975,54.30841471908608,0.0,0.0,5.002893147634459,54.98854229095934,2.8196324375824653,16.73638124932186,9.68537333818783,18.03802712528571,12.011159981634307,49.95162961917502,35.45965712277841,0.0,0.3513900440675364,Human,Human,Human,Human,Bot,Human,Bot,Human
8,0.2,0.5,1.3,0.95,1.6,117.17084389753185,82.45682080266798,172.76000006143306,42.2226754876891,179.0934592091652,102.43803560997402,169.36223883662564,161.03669645331658,0.0,0.0,5.0,3.0,-2.0,0.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,-5.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,6.0,2.0,2.0,8.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,6.0,4.0,0.0,0.0,4.197288541326283,5.783389352864213,46.45078805240617,18.555504894372618,0.0,0.0,11.279256810605986,14.127400245956572,3.4457234213525663,36.90775681770202,1.5795919665572713,9.582414022914369,0.0,-6.825906883717616,10.548491216321985,10.441534241537354,37.513011534729934,6.609981626530137,2.373999412785006,12.402653127568083,0.0,6.988159657761625,68.52429120938329,21.570687492674967,9.617959120665084,1.4373731757088364,4.627508791048405,0.1699583791905807,0.0,1.2728193402580208,0.0,8.31984068081817,0.9319383239967293,1.2313698080962532,7.71778146292361,0.0,58.301130943276746,30.70700449265607,0.0,63.42701817821579,0.333093432341008,-10.834559380882817,0.0,6.603667111221859,33.45297936476173,12.651773998362199,0.0,43.45386508417003,13.95535989436479,15.73186907494159,58.46200101757466,5.144596197383932,0.0,3.9444411793520886,53.03427230699025,2.312483166018324,19.893106313972858,7.201606774098309,24.397763077297903,8.902215734077725,45.15107797818087,38.4252192804229,0.0,0.2884912952660063,Human,Human,Human,Human,Bot,Human,Bot,Human
9,0.2,0.5,1.3,0.95,1.6,127.76181852582098,78.39410891337539,184.85922997484118,20.708952063868285,187.54265246673225,101.15392039705506,169.77552587806605,174.45671619335639,0.0,0.0,2.0,0.0,-10.0,0.0,2.0,2.0,0.0,7.0,2.0,0.0,2.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,5.0,2.0,2.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,-4.0,3.0,4.0,0.0,0.0,3.1046283012059943,4.591257541289797,55.84815715132548,25.237410859657746,0.0,0.0,14.526424333633482,11.032167538708482,2.7560496483146153,36.35461336666073,1.3106531962933645,7.378339309207637,0.0,-4.923629767696258,13.941891567442134,8.154418793153145,33.155099544703475,7.923435370225711,2.0072920467963224,9.56924599610137,0.0,12.026166788595377,76.82893353746192,29.927283890957007,7.526354376454272,1.1413974507703915,3.896752160612743,0.13239276539522424,0.0,0.9805491119131298,0.0,-6.39026660127748,0.8507590254324315,3.657720757389377,12.086585773551427,0.0,69.87474552298423,30.272383780469937,0.0,57.378684806904836,0.26078829585713614,-8.807401475321555,0.0,5.104939809503893,33.726971665990405,13.04846829180422,0.0,44.39838100922094,14.724254953916889,16.50474578107273,65.90678974763165,3.913360980303042,0.0,3.03595906579884,50.46607749737412,1.8025650519687837,19.369387619725167,8.396298707897856,26.083820064665872,6.907652538850003,49.31893038438866,37.8512886327874,0.0,13.107565445041427,Human,Human,Human,Human,Bot,Human,Bot,Human
