round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bot,Human,Human,Human,Bot,Human,Human,Human
1,0.2,0.5,1.3,0.95,1.6,92.125,83.25,101.0,112.5,94.5,107.625,117.375,132.625,2.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,2.375,0.0,0.0,0.0,0.0,3.25,0.0,6.5,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,13.0,4.75,0.0,0.0,3.25,0.0,0.0,6.5,13.0,6.5,0.0,0.0,3.25,3.25,0.0,0.0,0.0,0.0,0.0,4.75,3.25,3.25,3.25,0.0,0.0,3.25,8.125,0.0,0.0,9.750000000000002,6.5,0.0,0.0,3.25,9.750000000000002,19.500000000000004,4.875000000000001,0.0,0.0,16.25,0.0,6.5,8.125,0.0,4.875000000000001,9.750000000000002,7.124999999999999,Bot,Human,Human,Human,Bot,Human,Human,Human
2,0.2,0.5,1.3,0.95,1.6,82.94701657253272,94.88966557669443,102.19884754013081,132.1861883174792,86.14122120243759,123.14331209126043,130.49397768653392,135.77300247101664,2.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,4.0,3.0,4.0,1.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0,4.0,1.0,3.970489558561237,0.0,0.0,0.0,0.0,2.6309155766944117,0.0,12.345611437277054,5.988125,0.0,13.130000000000003,9.140625,0.0,2.6309155766944117,0.0,0.0,0.0,20.140454815695605,3.7254458977407854,1.828125,0.0,4.379821826694412,3.8146875000000002,4.3103125,4.878478002378122,20.140454815695605,14.945478596908444,0.0,0.0,11.37544682669441,10.380861325802616,6.465468750000001,0.0,0.0,0.0,0.0,8.096716706302022,2.6309155766944117,8.473517575802617,2.940071343638526,0.0,0.0,5.831489298454223,15.868627378121284,9.213750000000001,0.0,15.88383397740785,12.345611437277054,0.0,0.0,2.5489892984542215,17.21422785374554,24.02540279429251,12.690904615041617,1.393828125,8.620625,27.166507505945305,0.0,5.097978596908443,6.728002378121284,0.0,12.690904615041617,12.069146477407848,8.020462897592152,Bot,Human,Human,Human,Bot,Human,Human,Human
3,0.2,0.5,1.3,0.95,1.6,82.31705001961804,97.72257890993495,104.67597123476267,152.81482094582003,74.92692019177562,131.8018301267825,142.19367833269743,148.1160985409692,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,4.0,1.0,0.0,2.0,3.0,0.0,4.0,3.0,3.0,10.829704917234249,6.167828262485138,0.0,0.0,0.0,2.194069891155148,0.0,11.925446948743488,4.438248594805718,0.0,23.57219886550513,16.318061558468944,0.0,2.194069891155148,0.0,0.0,0.0,25.97217207244224,2.9198371904578693,7.989268544043671,0.0,5.652971195811162,3.1329190147239716,7.808803217283741,3.6347195013979303,25.97217207244224,21.67471583080804,0.0,0.0,19.48857641443521,19.131432300810978,11.713204825925612,0.0,0.0,0.0,0.0,10.137553705233213,2.194069891155148,9.082864243824288,2.3124323515629586,0.0,0.0,4.569370512161626,24.163131070367562,9.66759825557247,0.0,23.657349469475292,18.54438081920555,0.0,0.0,1.9977833408395953,23.154514300556443,29.1501377926215,20.585611360012784,2.694336394253657,13.411295144413462,30.965532394938375,0.0,7.3170292267334425,5.697043951739582,2.799589689079222,20.585611360012784,18.40390331734514,11.14738860112065,Bot,Human,Human,Human,Bot,Human,Human,Human
4,0.2,0.5,1.3,0.95,1.6,75.98040874704822,106.66900438618497,111.64353603176984,165.33188354728762,48.917701435138014,157.77634880271918,152.71815249134346,157.211838657646,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,0.0,0.0,0.0,4.0,-4.0,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,5.0,4.0,4.0,16.243072595371494,4.88069612051133,0.0,0.0,0.0,1.7706926271383474,0.0,12.125947404027041,11.48288226360635,0.0,28.810994715713296,23.644434779726964,0.0,1.7706926271383474,0.0,0.0,2.6753041256375862,33.25834618186121,2.305580228426684,14.158111347785649,0.0,4.561339181590105,2.551455521492821,11.173399444975784,2.836524051704991,33.25834618186121,27.31472735874251,0.0,0.0,24.291044357637993,27.131802233749482,9.539439363591429,0.0,0.0,0.0,0.0,7.446195429136285,-8.773453783004255,7.398076943091285,1.886882845914688,0.0,0.0,3.607538827129847,32.731313733506106,11.967430670960283,10.544146410142602,30.821208972763525,27.14471018821681,0.0,0.0,1.5775022615550995,29.405476219621796,31.16679729939014,25.176390671207173,3.8822592759599113,20.549726763609314,24.113133873176228,0.0,12.580177967876008,4.800867866579025,6.91536304122862,25.176390671207173,26.543563159925675,16.122342077653293,Bot,Human,Human,Human,Bot,Human,Human,Human
5,0.2,0.5,1.3,0.95,1.6,63.93796411887093,113.46526447519261,119.97659617205261,178.57873542451316,47.07651751324432,167.12168962499206,155.73555622098993,171.2466977799537,4.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,3.0,15.870493961909112,3.9913422429120575,0.0,0.0,0.0,1.526166935741639,0.0,9.781960978308115,8.669205404065655,0.0,37.80119353514489,32.70069860024042,0.0,1.526166935741639,0.0,0.0,2.0156962096909097,41.06386844688572,1.862792990379024,19.594177727631095,0.0,3.925733842011029,2.0711448620274213,16.67518209342741,2.160047010696164,41.06386844688572,29.334207155564698,0.0,0.0,31.133358285451564,34.42560795633427,7.693646569580763,0.0,0.0,0.0,0.0,14.30418211058456,-7.524779705718335,6.006027206784642,1.5230879015934464,4.938726568558135,0.0,2.915051171362446,37.42374991502252,7.9347169283867265,9.050946641459975,37.422763513284444,34.667734886917806,0.0,0.0,1.2745425723645951,34.71618782189154,20.770379776745013,31.896441753322385,4.963764996681421,29.34623929998497,28.157787354311466,0.0,17.425026151399013,3.9184436077454508,4.524165670558076,31.896441753322385,33.9508865159886,18.60594672662872,Bot,Human,Human,Human,Bot,Human,Human,Human
6,0.2,0.5,1.3,0.95,1.6,51.766817019314644,121.39997262646305,144.49311559001535,181.51490809482422,46.14957167624858,166.18003128227264,169.51694339621758,188.0716929770155,2.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,5.0,4.0,13.08101249309503,3.226891082092567,0.0,0.0,0.0,1.2323957867342186,0.0,8.012117657392816,6.331332841546513,4.042200046928737,42.412741103741226,41.16690284751235,0.0,1.2323957867342186,0.0,0.0,1.4670719462413417,47.94777910853628,4.362062325664622,24.676252438689296,0.0,8.600972644498787,9.230427308717,21.994149817668024,1.600512154347673,42.416347465370634,31.632605890868447,0.0,0.0,35.989005031040136,37.364468434892146,6.297569118305174,0.0,0.0,0.0,0.0,20.00773357760463,-6.0727380399225765,4.750504567135866,1.2496715714306492,5.649031674736516,0.0,2.367481299435314,39.221445714094614,6.180952767569295,7.305133826656796,39.73388837183386,39.507697627946214,2.077983833863305,0.0,1.0349492718694133,42.81928354118013,16.192638084293346,39.320930380813365,3.9280463760542093,37.92871190814381,30.976286590989325,0.0,21.95683041141307,3.200946476042665,3.516737781791448,39.320930380813365,39.517956033231805,23.367605302733807,Bot,Human,Human,Human,Bot,Human,Human,Human
7,0.2,0.5,1.3,0.95,1.6,47.88803858758018,108.45820282684217,153.61945687981546,185.90384620219365,45.43589266365278,198.81057257436674,181.0851326499644,193.79399114750927,2.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,7.0,5.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,5.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,-5.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,4.0,5.0,2.0,10.679677946245436,2.605158622000827,0.0,0.0,0.0,0.9557042840816046,0.0,12.675977735252307,4.598918516043034,3.2627603739091406,48.16692442828918,47.12037835274647,0.0,-15.66229884414566,0.0,0.0,1.0613827525551702,52.51536623589203,3.7415174338059503,31.2048895453835,0.0,6.687295998197046,10.271496326750984,27.16598858723078,1.1819948125583999,44.10503714018263,34.208670357155334,0.0,0.0,36.07970753585628,44.20113445498101,5.155781901460015,0.0,0.0,0.0,0.0,24.285915544684144,-4.7187181631923805,3.8716885027791097,1.0254867793818967,5.717513058564255,7.890998220720099,6.725650128849003,39.6817722979422,4.836021980346694,22.29242557550125,46.1338166986793,44.56085461376393,3.153879882240078,0.0,7.930613828086202,45.46288630248676,12.677948752994466,41.37195403159193,3.198824358015285,46.31750549454971,30.741447973903092,0.0,25.899969900399707,2.5114654546432402,2.746514996079327,41.37195403159193,45.9565948883418,23.59452390255014,Bot,Human,Human,Human,Bot,Human,Human,Human
8,0.2,0.5,1.3,0.95,1.6,42.07842787307995,112.13995790075485,169.34713974561896,207.0587891225163,42.07040271059694,161.42265866658738,186.78608585384913,200.74066427894115,2.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,-10.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,-5.0,3.0,0.0,0.0,2.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,-4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,4.0,5.0,3.0,9.31790193830571,1.930191638088509,0.0,0.0,0.0,0.8269030318666358,0.0,13.226215264819087,3.537808346678603,2.421414409738853,48.91424195248528,52.45794673325613,1.4766665115687154,-13.445336052972735,0.0,0.0,0.8150667776241763,53.055027411858454,31.27054223792176,33.800590383726075,1.4766665115687154,-10.155781520276744,11.261399314164144,31.04641262903238,0.9157584618738257,46.811401721306446,30.144469279479406,17.091441388847738,0.0,40.70953785139022,50.510639457186244,4.098324962432372,0.0,0.0,0.0,0.0,25.403699556328316,-4.062759076853218,3.1376093459790155,0.8146368851428174,5.907539214055994,5.860222470239792,-22.81313951384143,14.360544443330163,3.801340347028424,37.42762254882918,52.07776384335601,48.023549313589236,2.3891652073824967,0.0,8.902594731275611,45.098723447776564,9.970990697502412,48.48501634605268,2.5909045262730643,52.5714748975863,32.807758872186135,0.0,20.9319381901421,1.9883613224675782,2.1557135048768434,48.48501634605268,51.93345858157751,25.661201461638317,Bot,Human,Human,Human,Bot,Human,Human,Human
9,0.2,0.5,1.3,0.95,1.6,40.683749673893914,121.17929842062341,182.39992101811973,205.7357342197521,39.30118717972694,138.43396342244142,192.62635287549102,209.63808758149142,8.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-10.0,1.0,2.0,0.0,5.0,1.0,3.0,0.0,-4.0,3.0,0.0,0.0,2.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,2.0,3.0,0.0,4.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,11.105683666563705,1.5646190658535646,0.0,0.0,0.0,0.5865162747313007,0.0,14.005157866745336,2.717970578294198,7.288879752484449,43.8599294729226,61.043873477465326,2.501627869914598,-9.654755530457782,0.0,0.0,0.6250109728561698,55.763233231814,45.20564165060841,31.852664653840513,2.501627869914598,-7.377936257836435,15.196535985640764,25.21137011128168,0.7089026067829259,47.05935128335581,30.848516666784324,31.10089570330942,0.0,29.228536516920162,50.03761499778948,3.330143644809936,0.0,0.0,0.0,0.0,25.57581783657804,-2.903948872377647,2.5445752411395697,0.6629701743869751,5.83778451474275,4.748348153665877,-38.10248989252715,2.811195437833435,2.9686686304950807,40.35340073184821,54.344559859402516,52.0507231869807,1.8049252417244799,0.0,10.218708275683154,48.12754345723592,7.792912915292546,47.941066732531304,4.318088667666211,59.00133478535738,28.98363595296295,0.0,23.103654093127655,1.6881394355256292,1.680042570490783,45.317948529199256,60.29749797102788,35.14539622915725,Bot,Human,Human,Human,Bot,Human,Human,Human
