round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Human,Human,Human,Bot,Human,Human,Bot
1,0.2,0.5,1.3,0.95,1.6,115.5,86.5,109.25,112.0,93.625,99.375,96.25,94.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,9.750000000000002,6.5,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,6.5,6.5,0.0,0.0,0.0,0.0,7.124999999999999,0.0,6.5,0.0,0.0,0.0,8.125,0.0,0.0,4.75,6.5,0.0,0.0,0.0,9.750000000000002,0.0,0.0,6.5,0.0,0.0,-16.0,0.0,8.125,0.0,0.0,6.5,6.5,9.5,Human,Human,Human,Human,Bot,Human,Human,Bot
2,0.2,0.5,1.3,0.95,1.6,128.68465260569928,76.11401134427754,100.66884570524239,77.8454874070776,115.09344773598423,91.7777882167609,110.8037667937897,104.81228122096176,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,4.0,0.0,2.0,0.0,4.0,0.0,3.0,4.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.57095245470033,18.09204332507357,0.0,3.64,0.0,0.0,3.1281250000000003,1.2535318259253527,0.0,0.0,7.10125,0.0,5.012761344277529,0.0,0.0,0.0,0.0,9.658293325073565,0.0,0.0,7.519142016416294,13.235160363752517,6.2562500000000005,0.0,-23.520000000000003,0.0,0.0,24.016859222549172,0.0,3.2296875000000003,5.080408858603068,5.038531825925353,0.0,14.05625,10.651875000000002,0.0,16.612726377381136,0.0,9.772596358603069,0.0,0.0,0.0,6.769281400030974,0.0,0.0,9.67184795812684,11.33665885860307,0.0,0.0,0.0,18.77501268003717,7.28,9.128437500000002,11.620316613752518,0.0,0.0,-15.05095245470033,0.0,6.769281400030974,7.28,0.0,5.1609416137525175,9.772596358603069,26.88041430327552,Human,Human,Human,Human,Bot,Human,Human,Bot
3,0.2,0.5,1.3,0.95,1.6,105.90892768995484,68.59997874414216,103.5061853781782,81.23922715968706,97.99137749172318,109.06757760495256,107.04421596589125,103.43311285261184,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,-4.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,3.0,0.0,4.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,62.40655876821367,13.65037752960596,-8.053507656419391,-22.440900941178924,0.0,0.0,8.095750667782152,1.0506493219513595,0.0,0.0,5.46219292325902,0.0,11.937785820883125,0.0,0.0,0.0,0.0,7.3035510227178735,8.053507656419391,0.0,14.1661416799052,10.1926061043696,12.590378914766138,0.0,-22.163988299903515,0.0,0.0,41.10373638052833,0.0,2.4869476969928743,4.36812861307564,4.244402768993723,-27.367875105505664,20.472865652902886,11.465026870308908,0.0,23.008763643669553,0.0,19.212596430347492,0.0,0.0,9.894821474756082,13.377893304515437,0.0,0.0,19.43691650823833,15.157946317442693,0.0,0.0,0.0,22.610892607596867,4.939310058171817,11.887935751637578,16.406077548484987,0.0,0.0,-12.874695362804488,0.0,5.198549590964493,4.939310058171817,0.0,3.9752368618874137,8.409229167952995,42.5854825364396,Human,Human,Human,Human,Bot,Human,Human,Bot
4,0.2,0.5,1.3,0.95,1.6,71.17636916854347,59.581976220727,118.08162392625496,84.94486872778245,111.96630354087141,112.19116279378525,122.17913218329974,88.74560642645073,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-14.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,0.0,-8.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,-2.0,0.0,2.0,3.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,8.0,57.45737804190728,10.6019211016246,-23.218286533575448,-21.958073227552212,0.0,0.0,6.48372305008304,0.8497067360562034,0.0,0.0,4.509402526687874,0.0,8.978649390248757,1.7723481360804791,0.0,3.3615761677098854,0.0,5.679220299647984,23.218286533575448,2.64027488268983,10.650297303290866,16.152749172553673,18.780795734497154,0.0,-15.553575375103186,0.0,0.0,40.30662944489135,0.0,2.2120983890265316,3.498435944051935,13.521280324915812,-20.13051779866999,23.666095434885865,16.196532694296835,0.0,35.88717800650901,0.0,15.387015203849689,0.0,0.0,7.658346516112002,11.058572235175754,5.28054976537966,0.0,26.39645905501752,20.837235222100297,0.0,3.4420401499235327,10.032746891330794,25.410029094482578,4.0853632498811425,8.91549938433592,21.706553025776017,7.626900387569751,0.0,-21.773284868134112,0.0,4.29725509846715,10.686050456605717,0.0,3.53311065566543,6.735036465156917,44.30743861868962,Human,Human,Human,Human,Bot,Human,Human,Bot
5,0.2,0.5,1.3,0.95,1.6,54.7293981334049,57.42215643271539,125.86086296048413,96.57523391457843,111.324679050636,120.4395510563132,136.11649162199467,98.78738309123912,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,7.0,2.0,2.0,5.0,0.0,0.0,0.0,3.0,8.0,0.0,3.0,0.0,2.0,0.0,4.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,45.78825332147394,8.033149241888442,-20.00472008566894,-18.086769924057375,0.0,0.0,5.594001212307804,0.6374843674610114,0.0,0.0,3.8805683466847505,0.0,14.994571934777746,3.2688034177315375,0.0,2.5102127335213495,0.0,7.217564746794801,20.00472008566894,6.312835789341656,12.796691349530285,18.653962672878468,28.107088316269984,0.0,-9.402668149289559,0.0,13.431784721611502,41.210664677689664,0.0,5.452889713026678,3.0235067492178356,10.091056202322296,-11.890251351776854,17.824575428109505,17.78542283243342,0.0,41.55937886059995,0.0,13.277553281269988,0.0,0.0,7.70042963900643,13.381081195021986,8.484609228203917,0.0,28.216865737653347,29.88856525642752,0.0,4.624876462787732,13.343807339903611,31.493023080770044,3.347495916608139,11.326880696269654,26.84014908620283,12.372259039452661,0.0,-12.66226244613717,4.841035567934069,3.7084400524674628,11.53763774741672,0.0,2.885163091779688,5.825374426908201,49.88399465087014,Human,Human,Human,Human,Bot,Human,Human,Bot
6,0.2,0.5,1.3,0.95,1.6,43.97192241269728,57.134342459687176,139.604997408511,107.9655523348834,109.96791621979831,132.19701614459112,142.57483111498615,101.27296973454185,13.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,6.0,0.0,0.0,0.0,5.0,6.0,0.0,3.0,0.0,2.0,0.0,4.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0,37.73426738268151,6.233285764174893,-16.200780705346986,-15.17871260670614,0.0,0.0,4.644467429961434,0.5249951479325564,0.8893527196678296,0.0,3.142068645596037,0.0,18.95143876200193,2.654769013352471,0.0,5.282313319068898,0.0,11.186027730053558,16.200780705346986,13.128858597843957,17.231488809076048,19.07088405082341,36.57255751536703,0.0,-5.1497437532509585,0.0,23.139331343371254,41.364020577598396,0.0,8.344152453059234,2.512274346611443,11.541117367494007,-8.075746307420316,17.514475816476065,18.49026166322102,0.0,40.376163766400815,0.0,15.448361281120716,0.0,0.0,9.6782414611596,14.92629155761306,11.808766566320092,0.0,31.51488457208808,38.054431987410275,0.0,4.150627196675698,12.15463813048957,37.769728381689255,2.7859706762820604,12.460105046290202,33.554214493227335,13.485147190332032,0.0,-6.9449579138950375,3.7271971406007687,3.004033968067932,12.780185302978714,0.0,2.3455828552182036,4.842176055996709,55.30435232557454,Human,Human,Human,Human,Bot,Human,Human,Bot
7,0.2,0.5,1.3,0.95,1.6,37.260319545567164,64.20981398094926,158.1211727999139,118.5964625193502,110.33514345680493,139.4627862299942,158.32538501568038,90.75432619060064,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,2.0,2.0,0.0,4.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,7.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,33.302933355713655,4.901340920326131,-13.418666627931778,-12.640900052750336,0.0,0.0,3.7270880337577523,0.4170039164517323,1.3446537996469197,0.0,4.869689800164151,0.0,21.91812567725607,4.330324350973839,0.0,10.775500352908267,0.0,16.193412009367563,13.418666627931778,21.422125568372344,20.575159001386808,19.97973077344842,45.56055881940699,0.0,-2.6855353645272504,0.0,30.45705246548282,34.355778774137924,0.0,11.154887643751238,2.0161775582119956,22.326581442293467,-5.777911921119321,13.733785917925065,19.833966331016605,5.263320676325566,39.280992861925206,0.0,17.029469590731807,0.0,0.0,7.580915281142532,16.88863390501315,15.067868733955237,0.0,32.203933464435664,46.74991484544762,0.0,3.013221023219632,16.947036213330662,44.8517268556707,5.81345526417075,13.278364497356279,42.63072330478842,10.819337857143937,0.0,-4.257040056619295,2.9174802959075756,2.489908841654859,14.113673954657829,0.0,1.9314364346391717,3.886112714077452,48.70123400628304,Human,Human,Human,Human,Bot,Human,Human,Bot
8,0.2,0.5,1.3,0.95,1.6,33.34968688310879,57.787444390961625,167.5735387102437,139.4253173735538,112.83226467345506,149.3239043680545,176.16894391379864,86.19623196742184,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,6.0,0.0,2.0,4.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,6.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,30.743269715324075,4.022079765667722,-11.204237440958298,-10.377948739802227,0.0,0.0,3.0775044071690143,0.3118031757084973,2.188867647097014,0.0,6.625521892275003,0.0,20.732689602381214,3.471344062732154,0.0,7.991805186476225,0.0,13.377913226148184,11.204237440958298,27.173812047763285,23.26603693564015,22.816199756133727,52.95812330360005,0.0,-1.8264826319792833,0.0,38.18397228453145,28.158208135757793,3.585892162346161,13.474791884458384,6.811436587932732,34.26028295050655,-4.285720958958416,21.75011847210058,19.09503750433528,4.306223344281979,38.57893596941596,0.0,16.61045434227966,0.0,0.0,6.256208896070561,19.211769218013956,18.12188477586741,0.0,32.44233188659451,56.51449359150804,0.0,2.2501291422282046,20.266452749177905,55.34149289677079,8.60923535418404,13.969606224964254,50.03949033319735,8.9153212132761,0.0,-3.371774981338338,2.41010859686307,2.080740019529145,23.120560976422162,0.0,1.5485953887797383,3.211863614836975,40.418922352329076,Human,Human,Human,Human,Bot,Human,Human,Bot
9,0.2,0.5,1.3,0.95,1.6,29.538452111475284,57.331952878943774,178.17252905961715,133.68192260276135,122.07167253302413,158.78878186134367,185.99352270295404,98.61833567329069,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,6.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,6.0,0.0,4.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,7.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,28.1732518603565,3.038087760277753,-9.00188927684092,-8.876704228061499,0.0,0.0,2.544310165915297,0.2396230298281449,3.2559970937008167,0.0,8.044255376934146,0.0,23.697169495266813,2.8024565483044253,0.0,6.110301564737561,0.0,9.949970630687515,9.00188927684092,34.38689634319351,22.027087067576247,25.70129945735,63.68361348396893,0.0,-1.1767673384024124,0.0,44.280270424431144,23.985196009553732,2.82869531412058,15.730841946122379,8.476143509102194,26.135769937833732,-3.258861429341021,27.48067943009788,20.783799000244247,5.917587289693264,41.1605464642666,0.0,16.566148978063136,0.0,0.0,4.664548980540365,20.876887929015588,19.919999030887354,0.0,33.28989661353855,66.61567650736178,0.0,1.7203305055344504,18.810377230237965,60.78584276060337,11.825317947833405,14.689877635715705,57.38457489650197,7.355428926527178,0.0,-2.6481348409443037,1.7927486524755143,1.6718777779182201,33.21107732680916,0.0,1.2512228506679444,2.657929232362523,47.25984187400164,Human,Human,Human,Human,Bot,Human,Human,Bot
